# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=2.506680e-05.
#    ell           C_l_a           C_l_x
    64.5     4.01323e-05     5.24367e-07
    94.5     3.07884e-05     4.34957e-07
   124.5     2.56713e-05     3.65523e-07
   154.5     1.95779e-05     3.33273e-07
   184.5     1.76143e-05     1.68133e-07
   214.5     1.58365e-05     2.12690e-07
   244.5     1.42779e-05     1.49934e-07
   274.5     1.36379e-05     1.23051e-07
   304.5     1.25769e-05     6.28218e-08
   334.5     1.28182e-05     1.39218e-07
   364.5     1.13616e-05     1.88130e-09
   394.5     1.16066e-05     5.72911e-08
   424.5     1.07231e-05     1.20873e-07
   454.5     1.00496e-05     8.11663e-08
   484.5     1.01245e-05     1.26479e-07
   514.5     9.74549e-06     1.01972e-07
   544.5     9.95901e-06     1.15106e-07
   574.5     9.57532e-06     2.04734e-08
   604.5     9.39508e-06    -3.04500e-08
   634.5     9.17815e-06     3.88236e-08
   664.5     9.10114e-06     1.21395e-07
   694.5     9.23490e-06     3.90812e-08
   724.5     9.04426e-06     5.28698e-08
   754.5     8.68817e-06     2.36507e-08
   784.5     8.85210e-06     1.87781e-08
   814.5     8.60828e-06     2.93577e-08
   844.5     8.65895e-06     4.52539e-08
   874.5     8.48588e-06     5.91751e-08
   904.5     8.73766e-06     7.82814e-08
   934.5     8.37905e-06     1.18692e-09
   964.5     8.55337e-06     3.66089e-08
   994.5     8.27125e-06     3.73590e-08
