# Multi-sample, combined g-g g-k C_l.
# Samples: [11, 21]
# Have 20 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   49.50  5.81902000e-05  1.24234000e-06  5.77749000e-05  1.05592000e-06
   99.50  2.94457000e-05  2.40154000e-07  2.55579000e-05  2.71100000e-07
  149.50  1.96396000e-05  2.53856000e-07  2.03711000e-05  2.99013000e-07
  199.50  1.56152000e-05  1.38072000e-07  1.26104000e-05  4.69263000e-08
  249.50  1.37250000e-05  1.54994000e-07  1.20312000e-05  2.46409000e-07
  299.50  1.16213000e-05  7.93842000e-08  1.07431000e-05  8.81330000e-08
  349.50  1.08133000e-05  8.34988000e-08  1.02589000e-05  1.01946000e-07
  399.50  1.01916000e-05  4.30082000e-08  9.17224000e-06  1.11068000e-07
  449.50  9.74761000e-06  1.32904000e-07  8.61997000e-06  2.83811000e-08
  499.50  8.88494000e-06  3.69511000e-08  8.48318000e-06  6.11097000e-08
  549.50  8.81826000e-06  5.51397000e-08  7.61826000e-06  5.83334000e-08
  599.50  8.72901000e-06  5.54219000e-08  7.60030000e-06  6.41268000e-08
  649.50  8.31038000e-06  6.99079000e-08  7.61014000e-06  4.71440000e-08
  699.50  8.28649000e-06  6.45580000e-08  7.49278000e-06  3.21070000e-08
  749.50  8.06977000e-06  6.28781000e-08  7.57295000e-06  9.74037000e-08
  799.50  8.03590000e-06  2.25169000e-08  7.21519000e-06  9.83473000e-09
  849.50  7.77797000e-06  2.37669000e-08  7.25077000e-06 -1.21714000e-08
  899.50  7.77621000e-06  1.86579000e-08  7.17368000e-06  2.00284000e-08
  949.50  7.60865000e-06  3.05487000e-08  6.95355000e-06  7.60687000e-08
  999.50  7.64496000e-06  2.30630000e-08  6.97330000e-06  5.45756000e-08
