# Multi-sample, combined g-g g-k C_l.
# Samples: [31, 41]
# Have 20 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   49.50  5.95274000e-05  8.63525000e-07  5.87685000e-05  8.52452000e-07
   99.50  2.91797000e-05  3.66958000e-07  2.54004000e-05  4.60799000e-07
  149.50  1.94857000e-05  2.61871000e-07  2.05513000e-05  4.11635000e-07
  199.50  1.56490000e-05  1.42392000e-07  1.28731000e-05  9.39480000e-08
  249.50  1.38311000e-05  1.37223000e-07  1.21850000e-05  1.98942000e-07
  299.50  1.16098000e-05  9.86090000e-08  1.08519000e-05  1.83995000e-07
  349.50  1.10500000e-05  7.95106000e-08  1.05745000e-05  5.96667000e-08
  399.50  1.04185000e-05  6.64654000e-08  9.30233000e-06  1.07305000e-07
  449.50  9.93524000e-06  1.14140000e-07  8.65188000e-06  1.15537000e-08
  499.50  9.14647000e-06  4.21765000e-08  8.55068000e-06  5.02476000e-08
  549.50  9.05791000e-06  7.59787000e-08  7.68313000e-06  7.84648000e-08
  599.50  8.95614000e-06  7.51819000e-08  7.75971000e-06  9.40414000e-08
  649.50  8.59946000e-06  6.19166000e-08  7.81966000e-06  7.60968000e-08
  699.50  8.59441000e-06  7.34511000e-08  7.62467000e-06 -9.37015000e-09
  749.50  8.37217000e-06  5.87257000e-08  7.69624000e-06  9.27287000e-08
  799.50  8.36911000e-06  5.29566000e-08  7.33518000e-06 -8.15735000e-09
  849.50  8.13280000e-06  2.25617000e-08  7.40241000e-06  1.37238000e-08
  899.50  8.10160000e-06  2.25923000e-08  7.33243000e-06  2.39525000e-08
  949.50  7.95065000e-06  2.82601000e-08  7.11476000e-06  7.55907000e-08
  999.50  8.00417000e-06  3.26833000e-08  7.15847000e-06  6.22223000e-08
