# Redshift histogram for sample 63
# Using 18541427 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.50195   1.0959e+03
     0.50586   1.6449e+03
     0.50977   2.0917e+03
     0.51367   2.3762e+03
     0.51758   2.3598e+03
     0.52148   2.3529e+03
     0.52539   2.3210e+03
     0.52930   2.2507e+03
     0.53320   2.2783e+03
     0.53711   2.2471e+03
     0.54102   2.3465e+03
     0.54492   2.2443e+03
     0.54883   2.4052e+03
     0.55273   2.4071e+03
     0.55664   2.4636e+03
     0.56055   2.4913e+03
     0.56445   2.3499e+03
     0.56836   2.4693e+03
     0.57227   2.4642e+03
     0.57617   2.4696e+03
     0.58008   2.4135e+03
     0.58398   2.3427e+03
     0.58789   2.3162e+03
     0.59180   2.4490e+03
     0.59570   2.2854e+03
     0.59961   2.3054e+03
     0.60352   2.2680e+03
     0.60742   2.2060e+03
     0.61133   2.1251e+03
     0.61523   2.1509e+03
     0.61914   2.1016e+03
     0.62305   1.9927e+03
     0.62695   1.9309e+03
     0.63086   1.8291e+03
     0.63477   1.7873e+03
     0.63867   1.7365e+03
     0.64258   1.6305e+03
     0.64648   1.5372e+03
     0.65039   1.4938e+03
     0.65430   1.4222e+03
     0.65820   1.3912e+03
     0.66211   1.3066e+03
     0.66602   1.2773e+03
     0.66992   1.1178e+03
     0.67383   1.0845e+03
     0.67773   9.8721e+02
     0.68164   9.0142e+02
     0.68555   9.0084e+02
     0.68945   7.7192e+02
     0.69336   7.6585e+02
     0.69727   6.4274e+02
     0.70117   5.7595e+02
     0.70508   5.8622e+02
     0.70898   5.0944e+02
     0.71289   4.6835e+02
     0.71680   4.1580e+02
     0.72070   3.3929e+02
     0.72461   3.4230e+02
     0.72852   2.7213e+02
     0.73242   2.5466e+02
     0.73633   2.0525e+02
     0.74023   1.9986e+02
     0.74414   1.5887e+02
     0.74805   9.1834e+01
