# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=5.791451e-06.
#    ell           C_l_a           C_l_x
    49.5     6.33694e-05     7.63264e-07
    99.5     3.51102e-05     3.48117e-07
   149.5     2.24214e-05     2.95272e-07
   199.5     1.73787e-05     2.49738e-07
   249.5     1.41975e-05     1.29631e-07
   299.5     1.26363e-05     9.95619e-08
   349.5     1.17242e-05     3.51834e-09
   399.5     1.04899e-05     7.88925e-08
   449.5     9.75796e-06     7.52119e-08
   499.5     9.25430e-06     1.58917e-07
   549.5     8.93734e-06     6.78013e-08
   599.5     8.49562e-06    -1.18746e-08
   649.5     8.09135e-06     6.57570e-08
   699.5     8.23126e-06     7.22983e-08
   749.5     8.07201e-06     4.21192e-08
   799.5     7.85738e-06     8.86143e-09
   849.5     7.69666e-06     4.73282e-08
   899.5     7.70048e-06     2.31161e-08
   949.5     7.62515e-06     4.93490e-08
   999.5     7.50547e-06     4.59693e-08
