# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=5.791451e-06.
#    ell           C_l_a           C_l_x
    64.5     4.91243e-05     5.15037e-07
    94.5     3.68293e-05     4.15121e-07
   124.5     2.85875e-05     3.90902e-07
   154.5     2.10080e-05     3.58449e-07
   184.5     1.83023e-05     1.73489e-07
   214.5     1.63158e-05     2.21291e-07
   244.5     1.43993e-05     2.02108e-07
   274.5     1.38607e-05     1.15032e-07
   304.5     1.20413e-05     6.42110e-08
   334.5     1.22461e-05     1.35941e-07
   364.5     1.11007e-05    -6.76626e-09
   394.5     1.08825e-05     1.72393e-08
   424.5     1.00232e-05     1.24024e-07
   454.5     9.51171e-06     5.93455e-08
   484.5     9.43516e-06     1.26904e-07
   514.5     8.99897e-06     1.36261e-07
   544.5     9.08905e-06     1.05771e-07
   574.5     8.69849e-06    -1.36770e-08
   604.5     8.52505e-06    -2.20854e-08
   634.5     8.12711e-06     2.31569e-08
   664.5     8.04163e-06     9.54252e-08
   694.5     8.37431e-06     6.13647e-08
   724.5     8.05190e-06     6.17099e-08
   754.5     8.09063e-06     2.23789e-08
   784.5     7.90017e-06     3.29532e-08
   814.5     7.82115e-06     3.33508e-08
   844.5     7.74556e-06     5.52423e-08
   874.5     7.56294e-06     1.51074e-08
   904.5     7.81666e-06     5.64517e-08
   934.5     7.52120e-06     3.43054e-08
   964.5     7.72920e-06     5.42826e-08
   994.5     7.45580e-06     2.97490e-08
