# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
         0     1.75486e-05     1.78595e-07
         1     2.41907e-05     2.93581e-07
         2     3.03392e-05     3.99516e-07
         3     3.60132e-05     4.96789e-07
         4     4.12320e-05     5.85793e-07
         5     4.60148e-05     6.66917e-07
         6     5.03807e-05     7.40552e-07
         7     5.43489e-05     8.07090e-07
         8     5.79386e-05     8.66919e-07
         9     6.11691e-05     9.20431e-07
        10     6.40595e-05     9.68017e-07
        11     6.66289e-05     1.01007e-06
        12     6.88967e-05     1.04697e-06
        13     7.08817e-05     1.07910e-06
        14     7.26022e-05     1.10680e-06
        15     7.40754e-05     1.13039e-06
        16     7.53180e-05     1.15018e-06
        17     7.63464e-05     1.16648e-06
        18     7.71766e-05     1.17956e-06
        19     7.78238e-05     1.18969e-06
        20     7.83014e-05     1.19710e-06
        21     7.86210e-05     1.20199e-06
        22     7.87937e-05     1.20454e-06
        23     7.88303e-05     1.20493e-06
        24     7.87417e-05     1.20333e-06
        25     7.85381e-05     1.19990e-06
        26     7.82294e-05     1.19480e-06
        27     7.78244e-05     1.18816e-06
        28     7.73314e-05     1.18011e-06
        29     7.67579e-05     1.17078e-06
        30     7.61117e-05     1.16027e-06
        31     7.54001e-05     1.14872e-06
        32     7.46307e-05     1.13623e-06
        33     7.38106e-05     1.12290e-06
        34     7.29471e-05     1.10886e-06
        35     7.20472e-05     1.09421e-06
        36     7.11170e-05     1.07903e-06
        37     7.01623e-05     1.06343e-06
        38     6.91889e-05     1.04750e-06
        39     6.82022e-05     1.03132e-06
        40     6.72074e-05     1.01496e-06
        41     6.62093e-05     9.98517e-07
        42     6.52116e-05     9.82040e-07
        43     6.42180e-05     9.65593e-07
        44     6.32316e-05     9.49230e-07
        45     6.22547e-05     9.32992e-07
        46     6.12893e-05     9.16915e-07
        47     6.03375e-05     9.01036e-07
        48     5.94009e-05     8.85385e-07
        49     5.84812e-05     8.69989e-07
        50     5.75799e-05     8.54873e-07
        51     5.66985e-05     8.40063e-07
        52     5.58387e-05     8.25582e-07
        53     5.50017e-05     8.11452e-07
        54     5.41891e-05     7.97694e-07
        55     5.34021e-05     7.84326e-07
        56     5.26410e-05     7.71359e-07
        57     5.19062e-05     7.58798e-07
        58     5.11979e-05     7.46651e-07
        59     5.05161e-05     7.34922e-07
        60     4.98607e-05     7.23610e-07
        61     4.92309e-05     7.12710e-07
        62     4.86263e-05     7.02216e-07
        63     4.80461e-05     6.92124e-07
        64     4.74897e-05     6.82425e-07
        65     4.69563e-05     6.73110e-07
        66     4.64450e-05     6.64166e-07
        67     4.59551e-05     6.55583e-07
        68     4.54855e-05     6.47348e-07
        69     4.50355e-05     6.39449e-07
        70     4.46041e-05     6.31872e-07
        71     4.41902e-05     6.24602e-07
        72     4.37928e-05     6.17623e-07
        73     4.34111e-05     6.10921e-07
        74     4.30438e-05     6.04481e-07
        75     4.26901e-05     5.98285e-07
        76     4.23487e-05     5.92318e-07
        77     4.20185e-05     5.86563e-07
        78     4.16984e-05     5.81002e-07
        79     4.13874e-05     5.75619e-07
        80     4.10842e-05     5.70397e-07
        81     4.07880e-05     5.65321e-07
        82     4.04980e-05     5.60377e-07
        83     4.02131e-05     5.55551e-07
        84     3.99326e-05     5.50829e-07
        85     3.96556e-05     5.46197e-07
        86     3.93812e-05     5.41640e-07
        87     3.91087e-05     5.37147e-07
        88     3.88376e-05     5.32706e-07
        89     3.85672e-05     5.28308e-07
        90     3.82970e-05     5.23943e-07
        91     3.80264e-05     5.19599e-07
        92     3.77548e-05     5.15267e-07
        93     3.74816e-05     5.10937e-07
        94     3.72066e-05     5.06601e-07
        95     3.69295e-05     5.02256e-07
