# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
       164     1.95971e-05     2.50515e-07
       165     1.95153e-05     2.48695e-07
       166     1.94353e-05     2.46920e-07
       167     1.93570e-05     2.45189e-07
       168     1.92803e-05     2.43499e-07
       169     1.92050e-05     2.41847e-07
       170     1.91310e-05     2.40231e-07
       171     1.90583e-05     2.38648e-07
       172     1.89866e-05     2.37096e-07
       173     1.89160e-05     2.35574e-07
       174     1.88463e-05     2.34080e-07
       175     1.87775e-05     2.32611e-07
       176     1.87094e-05     2.31166e-07
       177     1.86421e-05     2.29742e-07
       178     1.85753e-05     2.28339e-07
       179     1.85091e-05     2.26954e-07
       180     1.84434e-05     2.25585e-07
       181     1.83780e-05     2.24230e-07
       182     1.83130e-05     2.22888e-07
       183     1.82481e-05     2.21557e-07
       184     1.81834e-05     2.20234e-07
       185     1.81188e-05     2.18918e-07
       186     1.80542e-05     2.17609e-07
       187     1.79897e-05     2.16305e-07
       188     1.79252e-05     2.15007e-07
       189     1.78607e-05     2.13713e-07
       190     1.77962e-05     2.12424e-07
       191     1.77318e-05     2.11138e-07
       192     1.76674e-05     2.09856e-07
       193     1.76030e-05     2.08577e-07
       194     1.75386e-05     2.07300e-07
       195     1.74742e-05     2.06025e-07
       196     1.74098e-05     2.04751e-07
       197     1.73453e-05     2.03478e-07
       198     1.72809e-05     2.02205e-07
       199     1.72164e-05     2.00932e-07
       200     1.71519e-05     1.99659e-07
       201     1.70874e-05     1.98387e-07
       202     1.70229e-05     1.97114e-07
       203     1.69585e-05     1.95843e-07
       204     1.68942e-05     1.94573e-07
       205     1.68301e-05     1.93304e-07
       206     1.67661e-05     1.92038e-07
       207     1.67023e-05     1.90775e-07
       208     1.66387e-05     1.89514e-07
       209     1.65754e-05     1.88258e-07
       210     1.65124e-05     1.87005e-07
       211     1.64497e-05     1.85756e-07
       212     1.63873e-05     1.84513e-07
       213     1.63254e-05     1.83274e-07
       214     1.62638e-05     1.82042e-07
       215     1.62027e-05     1.80815e-07
       216     1.61421e-05     1.79596e-07
       217     1.60819e-05     1.78383e-07
       218     1.60223e-05     1.77177e-07
       219     1.59631e-05     1.75979e-07
       220     1.59046e-05     1.74790e-07
       221     1.58465e-05     1.73609e-07
       222     1.57891e-05     1.72438e-07
       223     1.57322e-05     1.71275e-07
       224     1.56760e-05     1.70123e-07
       225     1.56204e-05     1.68981e-07
       226     1.55654e-05     1.67850e-07
       227     1.55111e-05     1.66730e-07
       228     1.54575e-05     1.65621e-07
       229     1.54046e-05     1.64525e-07
       230     1.53524e-05     1.63441e-07
       231     1.53009e-05     1.62370e-07
       232     1.52502e-05     1.61312e-07
       233     1.52002e-05     1.60268e-07
       234     1.51510e-05     1.59237e-07
       235     1.51026e-05     1.58219e-07
       236     1.50548e-05     1.57215e-07
       237     1.50078e-05     1.56224e-07
       238     1.49615e-05     1.55246e-07
       239     1.49158e-05     1.54282e-07
       240     1.48709e-05     1.53330e-07
       241     1.48266e-05     1.52392e-07
       242     1.47830e-05     1.51466e-07
       243     1.47401e-05     1.50554e-07
       244     1.46977e-05     1.49654e-07
       245     1.46561e-05     1.48767e-07
       246     1.46150e-05     1.47893e-07
       247     1.45745e-05     1.47032e-07
       248     1.45347e-05     1.46183e-07
       249     1.44954e-05     1.45347e-07
       250     1.44567e-05     1.44523e-07
       251     1.44185e-05     1.43712e-07
       252     1.43809e-05     1.42912e-07
