# Redshift histogram for sample 13
# Using 48740161 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.50195   5.0175e+02
     0.50586   4.9981e+02
     0.50977   5.0081e+02
     0.51367   5.0007e+02
     0.51758   4.9376e+02
     0.52148   4.9196e+02
     0.52539   4.9332e+02
     0.52930   4.9555e+02
     0.53320   4.8387e+02
     0.53711   4.7897e+02
     0.54102   4.8253e+02
     0.54492   4.7935e+02
     0.54883   4.5264e+02
     0.55273   4.4788e+02
     0.55664   4.4254e+02
     0.56055   4.4920e+02
     0.56445   4.4405e+02
     0.56836   4.2037e+02
     0.57227   3.8871e+02
     0.57617   3.7765e+02
     0.58008   3.7087e+02
     0.58398   3.6999e+02
     0.58789   3.4875e+02
     0.59180   3.5163e+02
     0.59570   3.3121e+02
     0.59961   3.2815e+02
     0.60352   3.1177e+02
     0.60742   3.0168e+02
     0.61133   2.8903e+02
     0.61523   2.8152e+02
     0.61914   2.6984e+02
     0.62305   2.5331e+02
     0.62695   2.3294e+02
     0.63086   2.3414e+02
     0.63477   2.2179e+02
     0.63867   2.1158e+02
     0.64258   1.9782e+02
     0.64648   1.9190e+02
     0.65039   1.7223e+02
     0.65430   1.6916e+02
     0.65820   1.5885e+02
     0.66211   1.5666e+02
     0.66602   1.3937e+02
     0.66992   1.3576e+02
     0.67383   1.2079e+02
     0.67773   1.1951e+02
     0.68164   1.0919e+02
     0.68555   1.0318e+02
     0.68945   9.7886e+01
     0.69336   9.3095e+01
     0.69727   8.4459e+01
     0.70117   7.7572e+01
     0.70508   7.4263e+01
     0.70898   6.9928e+01
     0.71289   6.1993e+01
     0.71680   5.9999e+01
     0.72070   5.3852e+01
     0.72461   5.0042e+01
     0.72852   4.5593e+01
     0.73242   4.1758e+01
     0.73633   3.8421e+01
     0.74023   3.6173e+01
     0.74414   3.2134e+01
     0.74805   2.9389e+01
