# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
         0     1.67254e-05     3.15955e-07
         1     2.86944e-05     5.62130e-07
         2     3.94182e-05     7.81664e-07
         3     4.89622e-05     9.76004e-07
         4     5.73920e-05     1.14659e-06
         5     6.47734e-05     1.29488e-06
         6     7.11720e-05     1.42230e-06
         7     7.66532e-05     1.53031e-06
         8     8.12828e-05     1.62034e-06
         9     8.51264e-05     1.69386e-06
        10     8.82495e-05     1.75229e-06
        11     9.07179e-05     1.79708e-06
        12     9.25969e-05     1.82969e-06
        13     9.39499e-05     1.85149e-06
        14     9.48347e-05     1.86379e-06
        15     9.53051e-05     1.86776e-06
        16     9.54110e-05     1.86449e-06
        17     9.51983e-05     1.85498e-06
        18     9.47086e-05     1.84012e-06
        19     9.39797e-05     1.82071e-06
        20     9.30461e-05     1.79748e-06
        21     9.19398e-05     1.77110e-06
        22     9.06896e-05     1.74215e-06
        23     8.93221e-05     1.71119e-06
        24     8.78616e-05     1.67870e-06
        25     8.63292e-05     1.64511e-06
        26     8.47442e-05     1.61081e-06
        27     8.31233e-05     1.57613e-06
        28     8.14820e-05     1.54135e-06
        29     7.98334e-05     1.50673e-06
        30     7.81894e-05     1.47247e-06
        31     7.65597e-05     1.43875e-06
        32     7.49527e-05     1.40571e-06
        33     7.33753e-05     1.37348e-06
        34     7.18327e-05     1.34211e-06
        35     7.03295e-05     1.31169e-06
        36     6.88689e-05     1.28225e-06
        37     6.74533e-05     1.25382e-06
        38     6.60846e-05     1.22640e-06
        39     6.47633e-05     1.19999e-06
        40     6.34892e-05     1.17457e-06
        41     6.22620e-05     1.15012e-06
        42     6.10809e-05     1.12660e-06
        43     5.99447e-05     1.10398e-06
        44     5.88525e-05     1.08223e-06
        45     5.78030e-05     1.06131e-06
        46     5.67949e-05     1.04120e-06
        47     5.58271e-05     1.02185e-06
        48     5.48982e-05     1.00325e-06
        49     5.40067e-05     9.85348e-07
        50     5.31509e-05     9.68116e-07
        51     5.23293e-05     9.51521e-07
        52     5.15401e-05     9.35526e-07
        53     5.07812e-05     9.20097e-07
        54     5.00507e-05     9.05197e-07
        55     4.93468e-05     8.90792e-07
        56     4.86676e-05     8.76853e-07
        57     4.80116e-05     8.63351e-07
        58     4.73772e-05     8.50260e-07
        59     4.67627e-05     8.37550e-07
        60     4.61668e-05     8.25199e-07
        61     4.55881e-05     8.13184e-07
        62     4.50253e-05     8.01482e-07
        63     4.44773e-05     7.90073e-07
        64     4.39427e-05     7.78935e-07
        65     4.34205e-05     7.68048e-07
        66     4.29096e-05     7.57395e-07
        67     4.24089e-05     7.46956e-07
        68     4.19175e-05     7.36714e-07
        69     4.14342e-05     7.26651e-07
        70     4.09584e-05     7.16753e-07
        71     4.04892e-05     7.07007e-07
        72     4.00260e-05     6.97398e-07
        73     3.95681e-05     6.87915e-07
        74     3.91146e-05     6.78545e-07
        75     3.86652e-05     6.69278e-07
        76     3.82196e-05     6.60109e-07
        77     3.77776e-05     6.51035e-07
        78     3.73388e-05     6.42049e-07
        79     3.69031e-05     6.33147e-07
        80     3.64703e-05     6.24324e-07
        81     3.60402e-05     6.15580e-07
        82     3.56129e-05     6.06915e-07
        83     3.51885e-05     5.98330e-07
        84     3.47671e-05     5.89826e-07
        85     3.43486e-05     5.81404e-07
        86     3.39332e-05     5.73065e-07
        87     3.35209e-05     5.64812e-07
        88     3.31121e-05     5.56650e-07
        89     3.27071e-05     5.48582e-07
        90     3.23062e-05     5.40615e-07
        91     3.19096e-05     5.32754e-07
        92     3.15176e-05     5.25002e-07
        93     3.11305e-05     5.17365e-07
        94     3.07485e-05     5.09847e-07
        95     3.03720e-05     5.02451e-07
        96     3.00012e-05     4.95183e-07
        97     2.96364e-05     4.88045e-07
        98     2.92778e-05     4.81042e-07
        99     2.89256e-05     4.74178e-07
       100     2.85802e-05     4.67455e-07
       101     2.82417e-05     4.60878e-07
       102     2.79103e-05     4.54445e-07
       103     2.75859e-05     4.48158e-07
       104     2.72687e-05     4.42017e-07
       105     2.69587e-05     4.36021e-07
       106     2.66561e-05     4.30171e-07
       107     2.63608e-05     4.24468e-07
       108     2.60730e-05     4.18910e-07
       109     2.57926e-05     4.13498e-07
       110     2.55196e-05     4.08229e-07
       111     2.52539e-05     4.03099e-07
       112     2.49954e-05     3.98107e-07
       113     2.47440e-05     3.93250e-07
       114     2.44995e-05     3.88525e-07
       115     2.42619e-05     3.83928e-07
       116     2.40311e-05     3.79459e-07
       117     2.38070e-05     3.75113e-07
       118     2.35894e-05     3.70888e-07
       119     2.33781e-05     3.66778e-07
       120     2.31729e-05     3.62781e-07
       121     2.29735e-05     3.58892e-07
       122     2.27799e-05     3.55107e-07
