# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=1.000000e-06.
#    ell           C_l_a           C_l_x
    64.5     4.61513e-05     6.30287e-07
    94.5     3.38322e-05     4.22319e-07
   124.5     2.72146e-05     2.90148e-07
   154.5     2.00959e-05     2.33980e-07
   184.5     1.78873e-05     2.31908e-07
   214.5     1.59882e-05     2.26987e-07
   244.5     1.42172e-05     1.81678e-07
   274.5     1.37178e-05     1.17083e-07
   304.5     1.22176e-05     4.91453e-08
   334.5     1.23640e-05     1.04901e-07
   364.5     1.10710e-05    -3.04598e-08
   394.5     1.09527e-05     5.45987e-08
   424.5     1.01697e-05     1.23458e-07
   454.5     9.62238e-06     7.46645e-08
   484.5     9.58762e-06     1.46797e-07
   514.5     9.14551e-06     1.14981e-07
   544.5     9.24234e-06     1.14530e-07
   574.5     8.96272e-06    -1.35535e-09
   604.5     8.74467e-06    -5.09781e-08
   634.5     8.54220e-06     2.38290e-08
   664.5     8.41765e-06     1.10802e-07
   694.5     8.63749e-06     8.89653e-08
   724.5     8.37357e-06     5.36913e-08
   754.5     8.37560e-06     3.50154e-08
   784.5     8.23742e-06    -8.69144e-09
   814.5     8.13692e-06     1.47710e-08
   844.5     8.12892e-06     4.61376e-08
   874.5     7.94422e-06     2.52785e-08
   904.5     8.27454e-06     7.14248e-08
   934.5     7.93043e-06     2.86842e-08
   964.5     8.12928e-06     3.48818e-08
   994.5     7.88610e-06     4.31033e-08
