# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=6.379080e-06.
#    ell           C_l_a           C_l_x
    49.5     6.59193e-05     8.60231e-07
    99.5     3.39139e-05     4.22543e-07
   149.5     2.13396e-05     3.58901e-07
   199.5     1.83529e-05     3.38195e-07
   249.5     1.37877e-05     1.91115e-07
   299.5     1.28038e-05     1.51613e-07
   349.5     1.17077e-05     1.22018e-07
   399.5     1.03873e-05     9.78097e-08
   449.5     1.01409e-05     7.48035e-08
   499.5     9.39400e-06    -1.66550e-08
   549.5     9.05441e-06     5.52649e-08
   599.5     8.75710e-06     1.13453e-07
   649.5     8.52845e-06     1.87353e-07
   699.5     8.55216e-06     8.86946e-08
   749.5     8.62739e-06    -1.02548e-08
   799.5     7.98139e-06     6.18938e-08
   849.5     8.05485e-06     2.51463e-08
   899.5     7.87747e-06     2.61242e-08
   949.5     7.82927e-06     5.58266e-08
   999.5     8.04256e-06     2.95556e-08
