# Redshift histogram for sample 61
# Using 18541427 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.20234   1.7321e+02
     0.20703   2.4854e+02
     0.21172   3.4376e+02
     0.21641   3.8067e+02
     0.22109   4.0676e+02
     0.22578   4.4379e+02
     0.23047   4.5746e+02
     0.23516   4.8502e+02
     0.23984   4.9796e+02
     0.24453   5.1735e+02
     0.24922   5.5044e+02
     0.25391   5.7112e+02
     0.25859   5.9764e+02
     0.26328   6.2112e+02
     0.26797   6.3676e+02
     0.27266   6.5140e+02
     0.27734   7.2107e+02
     0.28203   7.0623e+02
     0.28672   7.3843e+02
     0.29141   8.3303e+02
     0.29609   8.1196e+02
     0.30078   8.5465e+02
     0.30547   9.1795e+02
     0.31016   8.8367e+02
     0.31484   9.3871e+02
     0.31953   9.4825e+02
     0.32422   1.0059e+03
     0.32891   1.0608e+03
     0.33359   1.0877e+03
     0.33828   1.1093e+03
     0.34297   1.1417e+03
     0.34766   1.1457e+03
     0.35234   1.1249e+03
     0.35703   1.1830e+03
     0.36172   1.2756e+03
     0.36641   1.2641e+03
     0.37109   1.2734e+03
     0.37578   1.3014e+03
     0.38047   1.2785e+03
     0.38516   1.4140e+03
     0.38984   1.3306e+03
     0.39453   1.3535e+03
     0.39922   1.4167e+03
     0.40391   1.4575e+03
     0.40859   1.4796e+03
     0.41328   1.4943e+03
     0.41797   1.4770e+03
     0.42266   1.5641e+03
     0.42734   1.5652e+03
     0.43203   1.6618e+03
     0.43672   1.7776e+03
     0.44141   1.7815e+03
     0.44609   1.8967e+03
     0.45078   2.0353e+03
     0.45547   2.0296e+03
     0.46016   2.2051e+03
     0.46484   2.2167e+03
     0.46953   2.3448e+03
     0.47422   2.3771e+03
     0.47891   2.5087e+03
     0.48359   2.6275e+03
     0.48828   2.6722e+03
     0.49297   2.8248e+03
     0.49766   1.3345e+03
