# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
         0     1.46809e-05     1.59075e-07
         1     1.92222e-05     2.68583e-07
         2     2.34348e-05     3.69513e-07
         3     2.73315e-05     4.62245e-07
         4     3.09255e-05     5.47161e-07
         5     3.42294e-05     6.24643e-07
         6     3.72564e-05     6.95073e-07
         7     4.00192e-05     7.58832e-07
         8     4.25308e-05     8.16301e-07
         9     4.48041e-05     8.67862e-07
        10     4.68521e-05     9.13898e-07
        11     4.86875e-05     9.54788e-07
        12     5.03235e-05     9.90915e-07
        13     5.17722e-05     1.02263e-06
        14     5.30451e-05     1.05025e-06
        15     5.41530e-05     1.07405e-06
        16     5.51066e-05     1.09432e-06
        17     5.59158e-05     1.11131e-06
        18     5.65909e-05     1.12528e-06
        19     5.71412e-05     1.13646e-06
        20     5.75756e-05     1.14507e-06
        21     5.79022e-05     1.15128e-06
        22     5.81282e-05     1.15529e-06
        23     5.82606e-05     1.15724e-06
        24     5.83062e-05     1.15730e-06
        25     5.82713e-05     1.15560e-06
        26     5.81623e-05     1.15229e-06
        27     5.79850e-05     1.14749e-06
        28     5.77448e-05     1.14132e-06
        29     5.74470e-05     1.13389e-06
        30     5.70965e-05     1.12532e-06
        31     5.66980e-05     1.11570e-06
        32     5.62562e-05     1.10514e-06
        33     5.57757e-05     1.09373e-06
        34     5.52609e-05     1.08158e-06
        35     5.47163e-05     1.06877e-06
        36     5.41459e-05     1.05539e-06
        37     5.35537e-05     1.04153e-06
        38     5.29434e-05     1.02727e-06
        39     5.23186e-05     1.01268e-06
        40     5.16829e-05     9.97849e-07
        41     5.10394e-05     9.82841e-07
        42     5.03910e-05     9.67718e-07
        43     4.97403e-05     9.52539e-07
        44     4.90898e-05     9.37360e-07
        45     4.84413e-05     9.22223e-07
        46     4.77966e-05     9.07168e-07
        47     4.71575e-05     8.92236e-07
        48     4.65253e-05     8.77459e-07
        49     4.59014e-05     8.62866e-07
        50     4.52869e-05     8.48484e-07
        51     4.46830e-05     8.34340e-07
        52     4.40906e-05     8.20457e-07
        53     4.35107e-05     8.06855e-07
        54     4.29443e-05     7.93554e-07
        55     4.23922e-05     7.80573e-07
        56     4.18549e-05     7.67923e-07
        57     4.13328e-05     7.55613e-07
        58     4.08264e-05     7.43652e-07
        59     4.03361e-05     7.32050e-07
        60     3.98619e-05     7.20809e-07
        61     3.94039e-05     7.09929e-07
        62     3.89619e-05     6.99411e-07
        63     3.85359e-05     6.89255e-07
        64     3.81258e-05     6.79460e-07
        65     3.77313e-05     6.70019e-07
        66     3.73518e-05     6.60926e-07
        67     3.69871e-05     6.52172e-07
        68     3.66367e-05     6.43753e-07
        69     3.63001e-05     6.35658e-07
        70     3.59769e-05     6.27877e-07
        71     3.56665e-05     6.20398e-07
        72     3.53683e-05     6.13209e-07
        73     3.50816e-05     6.06296e-07
        74     3.48060e-05     5.99649e-07
        75     3.45408e-05     5.93254e-07
        76     3.42853e-05     5.87095e-07
        77     3.40389e-05     5.81160e-07
        78     3.38010e-05     5.75434e-07
        79     3.35708e-05     5.69903e-07
        80     3.33478e-05     5.64553e-07
        81     3.31314e-05     5.59370e-07
        82     3.29209e-05     5.54341e-07
        83     3.27158e-05     5.49455e-07
        84     3.25155e-05     5.44697e-07
        85     3.23194e-05     5.40056e-07
        86     3.21269e-05     5.35518e-07
        87     3.19375e-05     5.31072e-07
        88     3.17508e-05     5.26708e-07
        89     3.15664e-05     5.22415e-07
        90     3.13836e-05     5.18182e-07
        91     3.12022e-05     5.13999e-07
        92     3.10217e-05     5.09857e-07
        93     3.08416e-05     5.05744e-07
        94     3.06616e-05     5.01654e-07
        95     3.04815e-05     4.97579e-07
        96     3.03010e-05     4.93514e-07
        97     3.01200e-05     4.89453e-07
        98     2.99381e-05     4.85390e-07
        99     2.97552e-05     4.81318e-07
       100     2.95710e-05     4.77232e-07
       101     2.93853e-05     4.73127e-07
       102     2.91982e-05     4.69002e-07
       103     2.90097e-05     4.64855e-07
       104     2.88197e-05     4.60687e-07
       105     2.86284e-05     4.56496e-07
       106     2.84356e-05     4.52281e-07
       107     2.82413e-05     4.48041e-07
