# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=5.326090e-06.
#    ell           C_l_a           C_l_x
    64.5     4.64196e-05     5.61305e-07
    94.5     2.98744e-05     3.22688e-07
   124.5     2.44390e-05     2.47747e-07
   154.5     1.95382e-05     3.22162e-07
   184.5     1.64613e-05     2.24205e-07
   214.5     1.47885e-05     9.06823e-08
   244.5     1.41661e-05     1.42841e-07
   274.5     1.26300e-05     6.62063e-08
   304.5     1.12212e-05     9.85252e-08
   334.5     1.09784e-05     1.86365e-07
   364.5     1.07625e-05     5.84551e-08
   394.5     1.01980e-05     4.74925e-08
   424.5     1.00263e-05     5.91884e-08
   454.5     9.77281e-06     1.29665e-07
   484.5     8.88863e-06     5.18489e-08
   514.5     8.99955e-06     4.67596e-08
   544.5     8.87696e-06     6.71151e-08
   574.5     8.63762e-06     8.19183e-08
   604.5     8.67152e-06     8.33340e-08
   634.5     8.47852e-06     7.87220e-08
   664.5     8.21493e-06     5.33904e-08
   694.5     8.26273e-06     2.46191e-08
   724.5     8.17985e-06     1.16584e-07
   754.5     8.16432e-06     6.83373e-08
   784.5     7.96886e-06     3.84680e-08
   814.5     8.09107e-06     4.93137e-08
   844.5     7.71823e-06     5.34896e-08
   874.5     7.79379e-06    -9.83647e-09
   904.5     7.78908e-06     2.64143e-08
   934.5     7.52579e-06     4.97636e-08
   964.5     7.79402e-06     2.62320e-08
   994.5     7.53663e-06     4.71185e-09
