# Redshift histogram for sample 41
# Using 18541427 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.20234   2.1298e+01
     0.20703   2.1121e+01
     0.21172   2.4095e+01
     0.21641   2.4051e+01
     0.22109   2.4336e+01
     0.22578   2.5980e+01
     0.23047   2.6604e+01
     0.23516   2.8082e+01
     0.23984   2.8575e+01
     0.24453   2.9285e+01
     0.24922   3.0640e+01
     0.25391   3.1228e+01
     0.25859   3.2084e+01
     0.26328   3.2771e+01
     0.26797   3.3070e+01
     0.27266   3.3342e+01
     0.27734   3.6413e+01
     0.28203   3.5221e+01
     0.28672   3.6409e+01
     0.29141   4.0637e+01
     0.29609   3.9223e+01
     0.30078   4.0905e+01
     0.30547   4.3581e+01
     0.31016   4.1621e+01
     0.31484   4.3893e+01
     0.31953   4.4036e+01
     0.32422   4.6414e+01
     0.32891   4.8644e+01
     0.33359   4.9594e+01
     0.33828   5.0301e+01
     0.34297   5.1489e+01
     0.34766   5.1397e+01
     0.35234   5.0205e+01
     0.35703   5.2532e+01
     0.36172   5.6350e+01
     0.36641   5.5550e+01
     0.37109   5.5662e+01
     0.37578   5.6574e+01
     0.38047   5.5262e+01
     0.38516   6.0758e+01
     0.38984   5.6820e+01
     0.39453   5.7398e+01
     0.39922   5.9691e+01
     0.40391   6.1026e+01
     0.40859   6.1420e+01
     0.41328   6.1508e+01
     0.41797   6.0287e+01
     0.42266   6.3240e+01
     0.42734   6.2663e+01
     0.43203   6.5836e+01
     0.43672   6.9658e+01
     0.44141   6.9000e+01
     0.44609   7.2568e+01
     0.45078   7.6860e+01
     0.45547   7.5611e+01
     0.46016   8.0990e+01
     0.46484   8.0197e+01
     0.46953   8.3498e+01
     0.47422   8.3286e+01
     0.47891   8.6397e+01
     0.48359   8.8878e+01
     0.48828   8.8737e+01
     0.49297   9.2003e+01
     0.49766   9.1205e+01
