# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
         0     1.55383e-05     1.69451e-07
         1     2.18035e-05     2.82139e-07
         2     2.76073e-05     3.86018e-07
         3     3.29674e-05     4.81464e-07
         4     3.79018e-05     5.68855e-07
         5     4.24282e-05     6.48568e-07
         6     4.65646e-05     7.20983e-07
         7     5.03287e-05     7.86475e-07
         8     5.37384e-05     8.45423e-07
         9     5.68116e-05     8.98204e-07
        10     5.95661e-05     9.45196e-07
        11     6.20197e-05     9.86776e-07
        12     6.41902e-05     1.02332e-06
        13     6.60954e-05     1.05519e-06
        14     6.77520e-05     1.08272e-06
        15     6.91762e-05     1.10620e-06
        16     7.03835e-05     1.12596e-06
        17     7.13890e-05     1.14228e-06
        18     7.22079e-05     1.15543e-06
        19     7.28542e-05     1.16567e-06
        20     7.33404e-05     1.17322e-06
        21     7.36777e-05     1.17829e-06
        22     7.38764e-05     1.18106e-06
        23     7.39466e-05     1.18169e-06
        24     7.38983e-05     1.18035e-06
        25     7.37410e-05     1.17721e-06
        26     7.34841e-05     1.17241e-06
        27     7.31358e-05     1.16608e-06
        28     7.27039e-05     1.15836e-06
        29     7.21956e-05     1.14937e-06
        30     7.16179e-05     1.13922e-06
        31     7.09780e-05     1.12802e-06
        32     7.02825e-05     1.11589e-06
        33     6.95385e-05     1.10294e-06
        34     6.87525e-05     1.08926e-06
        35     6.79312e-05     1.07497e-06
        36     6.70803e-05     1.06016e-06
        37     6.62053e-05     1.04492e-06
        38     6.53117e-05     1.02934e-06
        39     6.44045e-05     1.01350e-06
        40     6.34886e-05     9.97486e-07
        41     6.25685e-05     9.81370e-07
        42     6.16479e-05     9.65213e-07
        43     6.07301e-05     9.49077e-07
        44     5.98182e-05     9.33014e-07
        45     5.89146e-05     9.17066e-07
        46     5.80211e-05     9.01270e-07
        47     5.71397e-05     8.85662e-07
        48     5.62720e-05     8.70272e-07
        49     5.54196e-05     8.55127e-07
        50     5.45839e-05     8.40251e-07
        51     5.37664e-05     8.25670e-07
        52     5.29684e-05     8.11407e-07
        53     5.21913e-05     7.97481e-07
        54     5.14364e-05     7.83916e-07
        55     5.07050e-05     7.70728e-07
        56     4.99974e-05     7.57928e-07
        57     4.93140e-05     7.45523e-07
        58     4.86551e-05     7.33519e-07
        59     4.80208e-05     7.21923e-07
        60     4.74110e-05     7.10734e-07
        61     4.68252e-05     6.99947e-07
        62     4.62628e-05     6.89557e-07
        63     4.57232e-05     6.79560e-07
        64     4.52059e-05     6.69948e-07
        65     4.47102e-05     6.60712e-07
        66     4.42352e-05     6.51840e-07
        67     4.37802e-05     6.43321e-07
        68     4.33443e-05     6.35144e-07
        69     4.29268e-05     6.27297e-07
        70     4.25267e-05     6.19766e-07
        71     4.21431e-05     6.12535e-07
        72     4.17750e-05     6.05592e-07
        73     4.14217e-05     5.98920e-07
        74     4.10820e-05     5.92505e-07
        75     4.07551e-05     5.86332e-07
        76     4.04398e-05     5.80385e-07
        77     4.01352e-05     5.74646e-07
        78     3.98403e-05     5.69100e-07
        79     3.95539e-05     5.63730e-07
        80     3.92751e-05     5.58521e-07
        81     3.90030e-05     5.53457e-07
        82     3.87367e-05     5.48524e-07
        83     3.84755e-05     5.43710e-07
        84     3.82185e-05     5.38999e-07
        85     3.79649e-05     5.34379e-07
        86     3.77138e-05     5.29835e-07
        87     3.74647e-05     5.25355e-07
        88     3.72168e-05     5.20930e-07
        89     3.69697e-05     5.16548e-07
        90     3.67228e-05     5.12201e-07
        91     3.64756e-05     5.07877e-07
        92     3.62275e-05     5.03568e-07
        93     3.59780e-05     4.99262e-07
        94     3.57267e-05     4.94953e-07
        95     3.54735e-05     4.90636e-07
        96     3.52181e-05     4.86307e-07
        97     3.49604e-05     4.81962e-07
        98     3.47001e-05     4.77594e-07
        99     3.44372e-05     4.73200e-07
       100     3.41713e-05     4.68775e-07
       101     3.39025e-05     4.64316e-07
       102     3.36308e-05     4.59823e-07
       103     3.33565e-05     4.55299e-07
       104     3.30798e-05     4.50744e-07
       105     3.28007e-05     4.46158e-07
       106     3.25196e-05     4.41543e-07
       107     3.22364e-05     4.36901e-07
       108     3.19516e-05     4.32231e-07
       109     3.16652e-05     4.27537e-07
       110     3.13776e-05     4.22822e-07
       111     3.10891e-05     4.18092e-07
       112     3.08002e-05     4.13349e-07
       113     3.05112e-05     4.08600e-07
       114     3.02223e-05     4.03847e-07
       115     2.99340e-05     3.99096e-07
       116     2.96466e-05     3.94350e-07
       117     2.93605e-05     3.89614e-07
       118     2.90759e-05     3.84894e-07
       119     2.87933e-05     3.80194e-07
       120     2.85129e-05     3.75518e-07
       121     2.82351e-05     3.70873e-07
       122     2.79603e-05     3.66262e-07
