# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=2.255484e-05.
#    ell           C_l_a           C_l_x
    64.5     4.56912e-05     5.61204e-07
    94.5     2.97373e-05     3.21465e-07
   124.5     2.39595e-05     2.56828e-07
   154.5     1.95487e-05     3.20021e-07
   184.5     1.62787e-05     1.97817e-07
   214.5     1.49642e-05     1.08811e-07
   244.5     1.41701e-05     1.50417e-07
   274.5     1.25874e-05     6.08514e-08
   304.5     1.12289e-05     1.00442e-07
   334.5     1.10405e-05     1.76820e-07
   364.5     1.09269e-05     5.69062e-08
   394.5     1.03640e-05     4.44336e-08
   424.5     1.01787e-05     5.79792e-08
   454.5     9.80384e-06     1.40394e-07
   484.5     8.97212e-06     5.01465e-08
   514.5     9.15078e-06     4.34648e-08
   544.5     8.96957e-06     6.47006e-08
   574.5     8.72681e-06     7.73863e-08
   604.5     8.71969e-06     8.56987e-08
   634.5     8.51583e-06     8.22980e-08
   664.5     8.29708e-06     6.20410e-08
   694.5     8.30230e-06     2.19883e-08
   724.5     8.26031e-06     1.13841e-07
   754.5     8.17190e-06     6.31933e-08
   784.5     7.94505e-06     3.99860e-08
   814.5     8.16799e-06     4.99890e-08
   844.5     7.69642e-06     6.37763e-08
   874.5     7.73133e-06    -2.16419e-08
   904.5     7.72593e-06     2.14449e-08
   934.5     7.41821e-06     4.47486e-08
   964.5     7.69456e-06     2.85100e-08
   994.5     7.37364e-06     2.08531e-09
