# Multi-sample, combined g-g g-k C_l.
# Samples: [51, 61]
# Have 32 ell bins for both gg and kg.
# with stacked data vector [Cg1g1,Ckg1,Cg2g2,...].
   64.50  4.99707000e-05  5.51336000e-07  6.16638000e-05  3.31016000e-07
   94.50  3.29918000e-05  3.01027000e-07  2.73051000e-05  4.12135000e-07
  124.50  2.65068000e-05  2.48615000e-07  2.78153000e-05  4.40566000e-07
  154.50  2.13120000e-05  3.59961000e-07  2.16555000e-05  4.38181000e-07
  184.50  1.78657000e-05  1.83445000e-07  1.59637000e-05 -1.76011000e-08
  214.50  1.60489000e-05  1.21125000e-07  1.32410000e-05  2.24777000e-07
  244.50  1.55101000e-05  1.63931000e-07  1.30548000e-05  1.91750000e-07
  274.50  1.35722000e-05  4.80987000e-08  1.21450000e-05  2.79795000e-07
  304.50  1.21747000e-05  1.00082000e-07  1.15164000e-05  1.77035000e-07
  334.50  1.18149000e-05  1.94213000e-07  1.15154000e-05  9.92063000e-08
  364.50  1.17174000e-05  4.38982000e-08  1.14621000e-05  8.17843000e-09
  394.50  1.11080000e-05  4.13385000e-08  9.85366000e-06  1.38435000e-07
  424.50  1.08410000e-05  4.59970000e-08  9.22499000e-06 -3.19471000e-08
  454.50  1.06203000e-05  1.39903000e-07  9.24298000e-06  4.83505000e-08
  484.50  9.66606000e-06  5.22190000e-08  9.36748000e-06  1.09607000e-07
  514.50  9.87548000e-06  4.56179000e-08  8.71537000e-06 -2.74755000e-08
  544.50  9.63813000e-06  8.11558000e-08  7.98607000e-06 -4.39868000e-09
  574.50  9.46069000e-06  9.52115000e-08  8.24528000e-06  2.11072000e-07
  604.50  9.41208000e-06  1.00924000e-07  8.44586000e-06  5.54397000e-08
  634.50  9.11403000e-06  8.20173000e-08  8.18942000e-06  1.00648000e-07
  664.50  8.98307000e-06  5.50053000e-08  8.28393000e-06  7.56027000e-08
  694.50  8.97831000e-06  2.11941000e-08  8.31382000e-06  8.85821000e-09
  724.50  8.93681000e-06  1.14369000e-07  7.98715000e-06  1.91484000e-08
  754.50  8.86262000e-06  6.27369000e-08  8.06341000e-06  9.33246000e-08
  784.50  8.71249000e-06  3.25437000e-08  7.63420000e-06  2.52845000e-08
  814.50  8.92900000e-06  4.80794000e-08  7.86888000e-06 -2.56122000e-08
  844.50  8.45595000e-06  6.69682000e-08  7.77688000e-06 -6.96823000e-09
  874.50  8.50609000e-06 -2.38011000e-09  7.73634000e-06  6.08137000e-08
  904.50  8.51645000e-06  3.36834000e-08  7.65660000e-06  5.74072000e-08
  934.50  8.23064000e-06  4.29405000e-08  7.66457000e-06 -1.91857000e-08
  964.50  8.56055000e-06  3.12744000e-08  7.45483000e-06  1.31037000e-07
  994.50  8.23888000e-06  8.15710000e-09  7.75980000e-06  3.30540000e-08
