# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=2.316492e-05.
#    ell           C_l_a           C_l_x
    64.5     5.61566e-05     4.16419e-07
    94.5     2.41773e-05     4.07313e-07
   124.5     2.52656e-05     4.39647e-07
   154.5     1.95972e-05     4.28366e-07
   184.5     1.42638e-05     6.34257e-09
   214.5     1.23579e-05     2.01571e-07
   244.5     1.23002e-05     1.95238e-07
   274.5     1.10042e-05     2.75218e-07
   304.5     1.08147e-05     1.63343e-07
   334.5     1.06313e-05     1.11235e-07
   364.5     1.05055e-05     1.38542e-09
   394.5     9.33652e-06     1.29400e-07
   424.5     8.33994e-06    -2.05519e-08
   454.5     8.74687e-06     8.14350e-08
   484.5     8.65182e-06     1.03649e-07
   514.5     8.08484e-06    -2.86198e-08
   544.5     7.40533e-06    -1.82214e-09
   574.5     7.54453e-06     1.95642e-07
   604.5     7.72140e-06     6.75561e-08
   634.5     7.48353e-06     8.72961e-08
   664.5     7.52259e-06     8.15558e-08
   694.5     7.61250e-06     7.61092e-09
   724.5     7.28598e-06     1.24910e-08
   754.5     7.32856e-06     9.39499e-08
   784.5     6.97212e-06     1.56474e-08
   814.5     7.18368e-06    -3.06047e-08
   844.5     6.98946e-06    -6.64068e-09
   874.5     7.02894e-06     6.80194e-08
   904.5     6.82594e-06     4.47948e-08
   934.5     6.76676e-06    -1.45394e-08
   964.5     6.63992e-06     1.52459e-07
   994.5     6.90430e-06     1.44967e-08
