# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=1.000000e-06.
#    ell           C_l_a           C_l_x
    64.5     6.16652e-05     5.13708e-07
    94.5     2.73052e-05     2.52956e-07
   124.5     2.78153e-05     3.54158e-07
   154.5     2.16555e-05     3.37595e-07
   184.5     1.59637e-05    -1.11654e-08
   214.5     1.32411e-05     1.74437e-07
   244.5     1.30548e-05     2.22242e-07
   274.5     1.21450e-05     2.74363e-07
   304.5     1.15165e-05     9.71448e-08
   334.5     1.15154e-05     1.31846e-07
   364.5     1.14622e-05     4.74910e-08
   394.5     9.85373e-06     1.12963e-07
   424.5     9.22508e-06    -1.87349e-09
   454.5     9.24307e-06     5.33565e-08
   484.5     9.36759e-06     1.06964e-07
   514.5     8.71549e-06    -4.85604e-08
   544.5     7.98620e-06     1.45843e-08
   574.5     8.24542e-06     1.27683e-07
   604.5     8.44602e-06     4.09873e-08
   634.5     8.18960e-06     4.98572e-08
   664.5     8.28412e-06     1.09409e-07
   694.5     8.31403e-06     4.64751e-08
   724.5     7.98738e-06     2.97442e-08
   754.5     8.06365e-06     6.92160e-08
   784.5     7.63447e-06     2.85533e-08
   814.5     7.86917e-06     5.29000e-09
   844.5     7.77718e-06    -4.60248e-08
   874.5     7.73667e-06     6.04632e-08
   904.5     7.65695e-06     2.12490e-08
   934.5     7.66495e-06    -6.21298e-09
   964.5     7.45524e-06     1.35495e-07
   994.5     7.76022e-06     3.86920e-08
