# Smooth curve fit to spectrum data.
#        ell        C_l_a        C_l_x
  1.2600e+02   2.1407e-05   3.5818e-07
  1.2700e+02   2.1244e-05   3.5445e-07
  1.2800e+02   2.1084e-05   3.5077e-07
  1.2900e+02   2.0926e-05   3.4716e-07
  1.3000e+02   2.0772e-05   3.4359e-07
  1.3100e+02   2.0620e-05   3.4008e-07
  1.3200e+02   2.0471e-05   3.3662e-07
  1.3300e+02   2.0325e-05   3.3321e-07
  1.3400e+02   2.0181e-05   3.2985e-07
  1.3500e+02   2.0040e-05   3.2654e-07
  1.3600e+02   1.9901e-05   3.2328e-07
  1.3700e+02   1.9764e-05   3.2006e-07
  1.3800e+02   1.9630e-05   3.1690e-07
  1.3900e+02   1.9498e-05   3.1377e-07
  1.4000e+02   1.9368e-05   3.1070e-07
  1.4100e+02   1.9240e-05   3.0767e-07
  1.4200e+02   1.9114e-05   3.0468e-07
  1.4300e+02   1.8991e-05   3.0173e-07
  1.4400e+02   1.8869e-05   2.9883e-07
  1.4500e+02   1.8749e-05   2.9597e-07
  1.4600e+02   1.8632e-05   2.9315e-07
  1.4700e+02   1.8516e-05   2.9037e-07
  1.4800e+02   1.8402e-05   2.8763e-07
  1.4900e+02   1.8289e-05   2.8493e-07
  1.5000e+02   1.8179e-05   2.8226e-07
  1.5100e+02   1.8070e-05   2.7964e-07
  1.5200e+02   1.7963e-05   2.7705e-07
  1.5300e+02   1.7857e-05   2.7449e-07
  1.5400e+02   1.7753e-05   2.7198e-07
  1.5500e+02   1.7651e-05   2.6949e-07
  1.5600e+02   1.7550e-05   2.6705e-07
  1.5700e+02   1.7451e-05   2.6463e-07
  1.5800e+02   1.7353e-05   2.6225e-07
  1.5900e+02   1.7256e-05   2.5990e-07
  1.6000e+02   1.7161e-05   2.5759e-07
  1.6100e+02   1.7067e-05   2.5530e-07
  1.6200e+02   1.6975e-05   2.5305e-07
  1.6300e+02   1.6884e-05   2.5082e-07
  1.6400e+02   1.6794e-05   2.4863e-07
  1.6500e+02   1.6706e-05   2.4647e-07
  1.6600e+02   1.6619e-05   2.4433e-07
  1.6700e+02   1.6533e-05   2.4223e-07
  1.6800e+02   1.6448e-05   2.4015e-07
  1.6900e+02   1.6364e-05   2.3810e-07
  1.7000e+02   1.6282e-05   2.3608e-07
  1.7100e+02   1.6201e-05   2.3408e-07
  1.7200e+02   1.6120e-05   2.3211e-07
  1.7300e+02   1.6041e-05   2.3017e-07
  1.7400e+02   1.5963e-05   2.2825e-07
  1.7500e+02   1.5886e-05   2.2636e-07
  1.7600e+02   1.5810e-05   2.2449e-07
  1.7700e+02   1.5735e-05   2.2265e-07
  1.7800e+02   1.5661e-05   2.2083e-07
  1.7900e+02   1.5588e-05   2.1903e-07
  1.8000e+02   1.5516e-05   2.1726e-07
  1.8100e+02   1.5445e-05   2.1551e-07
  1.8200e+02   1.5375e-05   2.1378e-07
  1.8300e+02   1.5305e-05   2.1208e-07
  1.8400e+02   1.5237e-05   2.1039e-07
  1.8500e+02   1.5169e-05   2.0873e-07
  1.8600e+02   1.5103e-05   2.0709e-07
  1.8700e+02   1.5037e-05   2.0547e-07
  1.8800e+02   1.4972e-05   2.0387e-07
  1.8900e+02   1.4907e-05   2.0229e-07
  1.9000e+02   1.4844e-05   2.0073e-07
  1.9100e+02   1.4781e-05   1.9919e-07
  1.9200e+02   1.4719e-05   1.9766e-07
  1.9300e+02   1.4658e-05   1.9616e-07
  1.9400e+02   1.4598e-05   1.9468e-07
  1.9500e+02   1.4538e-05   1.9321e-07
  1.9600e+02   1.4479e-05   1.9176e-07
  1.9700e+02   1.4421e-05   1.9033e-07
  1.9800e+02   1.4363e-05   1.8892e-07
  1.9900e+02   1.4306e-05   1.8752e-07
  2.0000e+02   1.4250e-05   1.8614e-07
  2.0100e+02   1.4194e-05   1.8478e-07
  2.0200e+02   1.4139e-05   1.8344e-07
  2.0300e+02   1.4085e-05   1.8211e-07
  2.0400e+02   1.4031e-05   1.8079e-07
  2.0500e+02   1.3978e-05   1.7949e-07
  2.0600e+02   1.3926e-05   1.7821e-07
  2.0700e+02   1.3874e-05   1.7694e-07
  2.0800e+02   1.3823e-05   1.7569e-07
  2.0900e+02   1.3772e-05   1.7445e-07
  2.1000e+02   1.3722e-05   1.7323e-07
  2.1100e+02   1.3672e-05   1.7202e-07
  2.1200e+02   1.3623e-05   1.7083e-07
  2.1300e+02   1.3575e-05   1.6964e-07
  2.1400e+02   1.3527e-05   1.6848e-07
  2.1500e+02   1.3479e-05   1.6732e-07
  2.1600e+02   1.3432e-05   1.6618e-07
  2.1700e+02   1.3386e-05   1.6506e-07
  2.1800e+02   1.3340e-05   1.6394e-07
  2.1900e+02   1.3295e-05   1.6284e-07
  2.2000e+02   1.3250e-05   1.6175e-07
  2.2100e+02   1.3205e-05   1.6068e-07
  2.2200e+02   1.3161e-05   1.5961e-07
  2.2300e+02   1.3118e-05   1.5856e-07
  2.2400e+02   1.3075e-05   1.5752e-07
  2.2500e+02   1.3032e-05   1.5649e-07
  2.2600e+02   1.2990e-05   1.5547e-07
  2.2700e+02   1.2948e-05   1.5447e-07
  2.2800e+02   1.2907e-05   1.5347e-07
  2.2900e+02   1.2866e-05   1.5249e-07
  2.3000e+02   1.2826e-05   1.5151e-07
  2.3100e+02   1.2786e-05   1.5055e-07
  2.3200e+02   1.2746e-05   1.4960e-07
  2.3300e+02   1.2707e-05   1.4866e-07
  2.3400e+02   1.2668e-05   1.4773e-07
  2.3500e+02   1.2629e-05   1.4681e-07
  2.3600e+02   1.2591e-05   1.4590e-07
  2.3700e+02   1.2554e-05   1.4500e-07
  2.3800e+02   1.2516e-05   1.4411e-07
  2.3900e+02   1.2480e-05   1.4322e-07
  2.4000e+02   1.2443e-05   1.4235e-07
  2.4100e+02   1.2407e-05   1.4149e-07
  2.4200e+02   1.2371e-05   1.4064e-07
  2.4300e+02   1.2335e-05   1.3979e-07
  2.4400e+02   1.2300e-05   1.3896e-07
  2.4500e+02   1.2265e-05   1.3813e-07
  2.4600e+02   1.2231e-05   1.3731e-07
  2.4700e+02   1.2197e-05   1.3650e-07
  2.4800e+02   1.2163e-05   1.3570e-07
  2.4900e+02   1.2129e-05   1.3491e-07
  2.5000e+02   1.2096e-05   1.3413e-07
  2.5100e+02   1.2063e-05   1.3335e-07
  2.5200e+02   1.2031e-05   1.3258e-07
  2.5300e+02   1.1999e-05   1.3182e-07
  2.5400e+02   1.1967e-05   1.3107e-07
  2.5500e+02   1.1935e-05   1.3033e-07
  2.5600e+02   1.1904e-05   1.2959e-07
  2.5700e+02   1.1872e-05   1.2886e-07
  2.5800e+02   1.1842e-05   1.2814e-07
  2.5900e+02   1.1811e-05   1.2743e-07
  2.6000e+02   1.1781e-05   1.2672e-07
  2.6100e+02   1.1751e-05   1.2602e-07
  2.6200e+02   1.1721e-05   1.2533e-07
  2.6300e+02   1.1692e-05   1.2464e-07
  2.6400e+02   1.1663e-05   1.2396e-07
  2.6500e+02   1.1634e-05   1.2329e-07
  2.6600e+02   1.1605e-05   1.2263e-07
  2.6700e+02   1.1577e-05   1.2197e-07
  2.6800e+02   1.1549e-05   1.2132e-07
  2.6900e+02   1.1521e-05   1.2067e-07
  2.7000e+02   1.1493e-05   1.2003e-07
  2.7100e+02   1.1466e-05   1.1940e-07
  2.7200e+02   1.1439e-05   1.1877e-07
  2.7300e+02   1.1412e-05   1.1815e-07
  2.7400e+02   1.1385e-05   1.1754e-07
  2.7500e+02   1.1358e-05   1.1693e-07
  2.7600e+02   1.1332e-05   1.1633e-07
  2.7700e+02   1.1306e-05   1.1573e-07
  2.7800e+02   1.1280e-05   1.1514e-07
  2.7900e+02   1.1255e-05   1.1455e-07
  2.8000e+02   1.1230e-05   1.1397e-07
  2.8100e+02   1.1204e-05   1.1340e-07
  2.8200e+02   1.1179e-05   1.1283e-07
  2.8300e+02   1.1155e-05   1.1227e-07
  2.8400e+02   1.1130e-05   1.1171e-07
  2.8500e+02   1.1106e-05   1.1116e-07
  2.8600e+02   1.1082e-05   1.1061e-07
  2.8700e+02   1.1058e-05   1.1007e-07
  2.8800e+02   1.1034e-05   1.0953e-07
  2.8900e+02   1.1011e-05   1.0900e-07
  2.9000e+02   1.0987e-05   1.0847e-07
  2.9100e+02   1.0964e-05   1.0795e-07
  2.9200e+02   1.0941e-05   1.0744e-07
  2.9300e+02   1.0919e-05   1.0692e-07
  2.9400e+02   1.0896e-05   1.0642e-07
  2.9500e+02   1.0874e-05   1.0591e-07
  2.9600e+02   1.0852e-05   1.0542e-07
  2.9700e+02   1.0830e-05   1.0492e-07
  2.9800e+02   1.0808e-05   1.0443e-07
  2.9900e+02   1.0786e-05   1.0395e-07
  3.0000e+02   1.0765e-05   1.0347e-07
  3.0100e+02   1.0743e-05   1.0299e-07
  3.0200e+02   1.0722e-05   1.0252e-07
  3.0300e+02   1.0701e-05   1.0206e-07
  3.0400e+02   1.0680e-05   1.0159e-07
  3.0500e+02   1.0660e-05   1.0113e-07
  3.0600e+02   1.0639e-05   1.0068e-07
  3.0700e+02   1.0619e-05   1.0023e-07
  3.0800e+02   1.0599e-05   9.9784e-08
  3.0900e+02   1.0579e-05   9.9342e-08
  3.1000e+02   1.0559e-05   9.8904e-08
  3.1100e+02   1.0539e-05   9.8469e-08
  3.1200e+02   1.0519e-05   9.8039e-08
  3.1300e+02   1.0500e-05   9.7612e-08
  3.1400e+02   1.0481e-05   9.7189e-08
  3.1500e+02   1.0462e-05   9.6770e-08
  3.1600e+02   1.0443e-05   9.6355e-08
  3.1700e+02   1.0424e-05   9.5943e-08
  3.1800e+02   1.0405e-05   9.5535e-08
  3.1900e+02   1.0387e-05   9.5131e-08
  3.2000e+02   1.0368e-05   9.4730e-08
  3.2100e+02   1.0350e-05   9.4332e-08
  3.2200e+02   1.0332e-05   9.3938e-08
  3.2300e+02   1.0314e-05   9.3548e-08
  3.2400e+02   1.0296e-05   9.3161e-08
  3.2500e+02   1.0278e-05   9.2777e-08
  3.2600e+02   1.0261e-05   9.2396e-08
  3.2700e+02   1.0243e-05   9.2019e-08
  3.2800e+02   1.0226e-05   9.1645e-08
  3.2900e+02   1.0208e-05   9.1274e-08
  3.3000e+02   1.0191e-05   9.0906e-08
  3.3100e+02   1.0174e-05   9.0542e-08
  3.3200e+02   1.0158e-05   9.0181e-08
  3.3300e+02   1.0141e-05   8.9822e-08
  3.3400e+02   1.0124e-05   8.9467e-08
  3.3500e+02   1.0108e-05   8.9115e-08
  3.3600e+02   1.0091e-05   8.8766e-08
  3.3700e+02   1.0075e-05   8.8419e-08
  3.3800e+02   1.0059e-05   8.8076e-08
  3.3900e+02   1.0043e-05   8.7735e-08
  3.4000e+02   1.0027e-05   8.7398e-08
  3.4100e+02   1.0011e-05   8.7063e-08
  3.4200e+02   9.9956e-06   8.6731e-08
  3.4300e+02   9.9800e-06   8.6401e-08
  3.4400e+02   9.9645e-06   8.6075e-08
  3.4500e+02   9.9492e-06   8.5751e-08
  3.4600e+02   9.9339e-06   8.5430e-08
  3.4700e+02   9.9188e-06   8.5111e-08
  3.4800e+02   9.9038e-06   8.4796e-08
  3.4900e+02   9.8888e-06   8.4482e-08
  3.5000e+02   9.8740e-06   8.4172e-08
  3.5100e+02   9.8593e-06   8.3863e-08
  3.5200e+02   9.8446e-06   8.3558e-08
  3.5300e+02   9.8301e-06   8.3255e-08
  3.5400e+02   9.8157e-06   8.2954e-08
  3.5500e+02   9.8013e-06   8.2656e-08
  3.5600e+02   9.7871e-06   8.2360e-08
  3.5700e+02   9.7730e-06   8.2067e-08
  3.5800e+02   9.7589e-06   8.1776e-08
  3.5900e+02   9.7450e-06   8.1487e-08
  3.6000e+02   9.7311e-06   8.1200e-08
  3.6100e+02   9.7174e-06   8.0916e-08
  3.6200e+02   9.7037e-06   8.0635e-08
  3.6300e+02   9.6901e-06   8.0355e-08
  3.6400e+02   9.6767e-06   8.0078e-08
  3.6500e+02   9.6633e-06   7.9803e-08
  3.6600e+02   9.6500e-06   7.9530e-08
  3.6700e+02   9.6367e-06   7.9259e-08
  3.6800e+02   9.6236e-06   7.8991e-08
  3.6900e+02   9.6106e-06   7.8724e-08
  3.7000e+02   9.5976e-06   7.8460e-08
  3.7100e+02   9.5847e-06   7.8198e-08
  3.7200e+02   9.5719e-06   7.7938e-08
  3.7300e+02   9.5592e-06   7.7680e-08
  3.7400e+02   9.5466e-06   7.7423e-08
  3.7500e+02   9.5341e-06   7.7169e-08
  3.7600e+02   9.5216e-06   7.6917e-08
  3.7700e+02   9.5092e-06   7.6667e-08
  3.7800e+02   9.4969e-06   7.6419e-08
  3.7900e+02   9.4847e-06   7.6173e-08
  3.8000e+02   9.4726e-06   7.5929e-08
  3.8100e+02   9.4605e-06   7.5686e-08
  3.8200e+02   9.4485e-06   7.5446e-08
  3.8300e+02   9.4366e-06   7.5207e-08
  3.8400e+02   9.4248e-06   7.4970e-08
  3.8500e+02   9.4130e-06   7.4735e-08
  3.8600e+02   9.4013e-06   7.4502e-08
  3.8700e+02   9.3897e-06   7.4271e-08
  3.8800e+02   9.3782e-06   7.4041e-08
  3.8900e+02   9.3667e-06   7.3813e-08
  3.9000e+02   9.3553e-06   7.3587e-08
  3.9100e+02   9.3440e-06   7.3363e-08
