# Redshift histogram for sample 53
# Using 48740161 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.50195   1.1104e+03
     0.50586   1.6831e+03
     0.50977   2.1583e+03
     0.51367   2.4082e+03
     0.51758   2.4399e+03
     0.52148   2.3986e+03
     0.52539   2.3681e+03
     0.52930   2.3788e+03
     0.53320   2.3506e+03
     0.53711   2.3453e+03
     0.54102   2.3993e+03
     0.54492   2.4551e+03
     0.54883   2.4012e+03
     0.55273   2.4459e+03
     0.55664   2.4486e+03
     0.56055   2.4820e+03
     0.56445   2.4871e+03
     0.56836   2.4485e+03
     0.57227   2.3900e+03
     0.57617   2.3920e+03
     0.58008   2.3763e+03
     0.58398   2.4071e+03
     0.58789   2.3292e+03
     0.59180   2.3356e+03
     0.59570   2.2501e+03
     0.59961   2.2855e+03
     0.60352   2.2105e+03
     0.60742   2.1752e+03
     0.61133   2.1149e+03
     0.61523   2.0866e+03
     0.61914   2.0359e+03
     0.62305   1.9628e+03
     0.62695   1.8542e+03
     0.63086   1.8574e+03
     0.63477   1.7717e+03
     0.63867   1.7192e+03
     0.64258   1.6170e+03
     0.64648   1.5793e+03
     0.65039   1.4419e+03
     0.65430   1.4324e+03
     0.65820   1.3399e+03
     0.66211   1.3097e+03
     0.66602   1.1816e+03
     0.66992   1.1583e+03
     0.67383   1.0233e+03
     0.67773   1.0001e+03
     0.68164   9.1161e+02
     0.68555   8.4633e+02
     0.68945   7.8969e+02
     0.69336   7.4252e+02
     0.69727   6.6055e+02
     0.70117   5.9229e+02
     0.70508   5.4987e+02
     0.70898   5.0295e+02
     0.71289   4.3468e+02
     0.71680   4.0314e+02
     0.72070   3.4637e+02
     0.72461   3.0749e+02
     0.72852   2.6582e+02
     0.73242   2.2887e+02
     0.73633   1.9730e+02
     0.74023   1.7282e+02
     0.74414   1.4136e+02
     0.74805   7.2113e+01
