# Redshift histogram for sample 33
# Using 48740161 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.50195   9.3015e+01
     0.50586   9.3881e+01
     0.50977   9.5385e+01
     0.51367   9.6362e+01
     0.51758   9.6089e+01
     0.52148   9.6660e+01
     0.52539   9.7918e+01
     0.52930   9.9980e+01
     0.53320   9.9572e+01
     0.53711   9.9514e+01
     0.54102   1.0158e+02
     0.54492   1.0358e+02
     0.54883   1.0102e+02
     0.55273   1.0272e+02
     0.55664   1.0279e+02
     0.56055   1.0425e+02
     0.56445   1.0465e+02
     0.56836   1.0331e+02
     0.57227   1.0124e+02
     0.57617   1.0182e+02
     0.58008   1.0176e+02
     0.58398   1.0380e+02
     0.58789   1.0125e+02
     0.59180   1.0245e+02
     0.59570   9.9692e+01
     0.59961   1.0238e+02
     0.60352   1.0023e+02
     0.60742   9.9901e+01
     0.61133   9.8525e+01
     0.61523   9.8694e+01
     0.61914   9.7855e+01
     0.62305   9.5964e+01
     0.62695   9.2344e+01
     0.63086   9.4308e+01
     0.63477   9.1817e+01
     0.63867   9.1054e+01
     0.64258   8.7600e+01
     0.64648   8.7650e+01
     0.65039   8.2065e+01
     0.65430   8.3706e+01
     0.65820   8.0504e+01
     0.66211   8.1035e+01
     0.66602   7.5367e+01
     0.66992   7.6307e+01
     0.67383   6.9740e+01
     0.67773   7.0604e+01
     0.68164   6.6796e+01
     0.68555   6.4449e+01
     0.68945   6.2612e+01
     0.69336   6.1495e+01
     0.69727   5.7213e+01
     0.70117   5.3801e+01
     0.70508   5.2528e+01
     0.70898   5.0628e+01
     0.71289   4.6258e+01
     0.71680   4.5529e+01
     0.72070   4.1638e+01
     0.72461   3.9523e+01
     0.72852   3.6699e+01
     0.73242   3.4065e+01
     0.73633   3.1894e+01
     0.74023   3.0495e+01
     0.74414   2.7437e+01
     0.74805   2.5382e+01
