# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=1.000000e-06.
#    ell           C_l_a           C_l_x
    64.5     4.99697e-05     5.48607e-07
    94.5     3.29917e-05     3.19458e-07
   124.5     2.65067e-05     8.19909e-08
   154.5     2.13120e-05     3.43781e-07
   184.5     1.78656e-05     1.64518e-07
   214.5     1.60488e-05     1.26713e-07
   244.5     1.55101e-05     1.86221e-07
   274.5     1.35721e-05     6.42056e-08
   304.5     1.21746e-05     8.41829e-08
   334.5     1.18148e-05     1.69361e-07
   364.5     1.17173e-05     5.35726e-08
   394.5     1.11079e-05    -1.68121e-09
   424.5     1.08409e-05     4.06137e-08
   454.5     1.06202e-05     1.75566e-07
   484.5     9.66591e-06     3.62443e-08
   514.5     9.87531e-06     2.77609e-08
   544.5     9.63795e-06     7.88865e-08
   574.5     9.46049e-06     6.52694e-08
   604.5     9.41186e-06     8.42778e-08
   634.5     9.11378e-06     8.25672e-08
   664.5     8.98280e-06     5.81151e-08
   694.5     8.97801e-06     1.85897e-08
   724.5     8.93648e-06     9.53622e-08
   754.5     8.86228e-06     7.28320e-08
   784.5     8.71211e-06     6.63839e-09
   814.5     8.92859e-06     1.63791e-08
   844.5     8.45552e-06     6.57381e-08
   874.5     8.50563e-06    -3.26457e-09
   904.5     8.51596e-06     2.71494e-08
   934.5     8.23011e-06     3.97166e-08
   964.5     8.55998e-06     2.14017e-08
   994.5     8.23828e-06     2.58176e-09
