# Redshift histogram for sample 43
# Using 18541427 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.50195   9.2554e+01
     0.50586   9.3208e+01
     0.50977   9.3846e+01
     0.51367   9.6600e+01
     0.51758   9.4686e+01
     0.52148   9.6881e+01
     0.52539   9.8198e+01
     0.52930   9.6827e+01
     0.53320   9.8661e+01
     0.53711   9.7276e+01
     0.54102   1.0112e+02
     0.54492   9.6121e+01
     0.54883   1.0246e+02
     0.55273   1.0215e+02
     0.55664   1.0428e+02
     0.56055   1.0533e+02
     0.56445   9.9355e+01
     0.56836   1.0455e+02
     0.57227   1.0460e+02
     0.57617   1.0521e+02
     0.58008   1.0333e+02
     0.58398   1.0091e+02
     0.58789   1.0049e+02
     0.59180   1.0713e+02
     0.59570   1.0092e+02
     0.59961   1.0288e+02
     0.60352   1.0240e+02
     0.60742   1.0087e+02
     0.61133   9.8535e+01
     0.61523   1.0122e+02
     0.61914   1.0050e+02
     0.62305   9.6942e+01
     0.62695   9.5663e+01
     0.63086   9.2384e+01
     0.63477   9.2145e+01
     0.63867   9.1528e+01
     0.64258   8.7886e+01
     0.64648   8.4920e+01
     0.65039   8.4641e+01
     0.65430   8.2770e+01
     0.65820   8.3273e+01
     0.66211   8.0543e+01
     0.66602   8.1230e+01
     0.66992   7.3401e+01
     0.67383   7.3668e+01
     0.67773   6.9476e+01
     0.68164   6.5874e+01
     0.68555   6.8391e+01
     0.68945   6.1022e+01
     0.69336   6.3233e+01
     0.69727   5.5444e+01
     0.70117   5.2068e+01
     0.70508   5.5638e+01
     0.70898   5.0926e+01
     0.71289   4.9359e+01
     0.71680   4.6470e+01
     0.72070   4.0204e+01
     0.72461   4.3158e+01
     0.72852   3.6697e+01
     0.73242   3.6875e+01
     0.73633   3.1982e+01
     0.74023   3.3626e+01
     0.74414   2.9084e+01
     0.74805   2.5686e+01
