# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
         0     2.11188e-05     3.11069e-07
         1     3.29591e-05     5.51384e-07
         2     4.35681e-05     7.65642e-07
         3     5.30108e-05     9.55261e-07
         4     6.13524e-05     1.12166e-06
         5     6.86579e-05     1.26625e-06
         6     7.49923e-05     1.39045e-06
         7     8.04207e-05     1.49568e-06
         8     8.50082e-05     1.58335e-06
         9     8.88197e-05     1.65488e-06
        10     9.19204e-05     1.71170e-06
        11     9.43753e-05     1.75521e-06
        12     9.62494e-05     1.78683e-06
        13     9.76050e-05     1.80793e-06
        14     9.84987e-05     1.81976e-06
        15     9.89833e-05     1.82347e-06
        16     9.91087e-05     1.82016e-06
        17     9.89212e-05     1.81079e-06
        18     9.84621e-05     1.79625e-06
        19     9.77681e-05     1.77732e-06
        20     9.68726e-05     1.75470e-06
        21     9.58062e-05     1.72905e-06
        22     9.45975e-05     1.70092e-06
        23     9.32724e-05     1.67087e-06
        24     9.18547e-05     1.63935e-06
        25     9.03648e-05     1.60680e-06
        26     8.88210e-05     1.57357e-06
        27     8.72391e-05     1.53997e-06
        28     8.56338e-05     1.50629e-06
        29     8.40171e-05     1.47275e-06
        30     8.24004e-05     1.43955e-06
        31     8.07928e-05     1.40686e-06
        32     7.92025e-05     1.37480e-06
        33     7.76360e-05     1.34348e-06
        34     7.60984e-05     1.31299e-06
        35     7.45944e-05     1.28337e-06
        36     7.31275e-05     1.25468e-06
        37     7.17008e-05     1.22693e-06
        38     7.03167e-05     1.20014e-06
        39     6.89753e-05     1.17430e-06
        40     6.76769e-05     1.14938e-06
        41     6.64210e-05     1.12537e-06
        42     6.52068e-05     1.10223e-06
        43     6.40332e-05     1.07993e-06
        44     6.28992e-05     1.05843e-06
        45     6.18041e-05     1.03771e-06
        46     6.07473e-05     1.01774e-06
        47     5.97281e-05     9.98489e-07
        48     5.87457e-05     9.79933e-07
        49     5.77994e-05     9.62047e-07
        50     5.68885e-05     9.44805e-07
        51     5.60120e-05     9.28180e-07
        52     5.51685e-05     9.12142e-07
        53     5.43564e-05     8.96659e-07
        54     5.35738e-05     8.81699e-07
        55     5.28193e-05     8.67232e-07
        56     5.20912e-05     8.53232e-07
        57     5.13882e-05     8.39673e-07
        58     5.07087e-05     8.26530e-07
        59     5.00514e-05     8.13778e-07
        60     4.94148e-05     8.01395e-07
        61     4.87978e-05     7.89361e-07
        62     4.81992e-05     7.77656e-07
        63     4.76178e-05     7.66257e-07
        64     4.70522e-05     7.55146e-07
        65     4.65016e-05     7.44303e-07
        66     4.59645e-05     7.33710e-07
        67     4.54401e-05     7.23348e-07
        68     4.49271e-05     7.13198e-07
        69     4.44245e-05     7.03242e-07
        70     4.39313e-05     6.93465e-07
        71     4.34466e-05     6.83853e-07
        72     4.29695e-05     6.74391e-07
        73     4.24992e-05     6.65064e-07
        74     4.20347e-05     6.55859e-07
        75     4.15754e-05     6.46764e-07
        76     4.11209e-05     6.37775e-07
