# Redshift histogram for sample 23
# Using 18541427 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.50195   4.6926e+02
     0.50586   4.6876e+02
     0.50977   4.6455e+02
     0.51367   4.6755e+02
     0.51758   4.4938e+02
     0.52148   4.6792e+02
     0.52539   4.6701e+02
     0.52930   4.4993e+02
     0.53320   4.4984e+02
     0.53711   4.2577e+02
     0.54102   4.4281e+02
     0.54492   4.2015e+02
     0.54883   4.4714e+02
     0.55273   4.5121e+02
     0.55664   4.6163e+02
     0.56055   4.4555e+02
     0.56445   4.0748e+02
     0.56836   4.2994e+02
     0.57227   4.2667e+02
     0.57617   4.0895e+02
     0.58008   3.8214e+02
     0.58398   3.5918e+02
     0.58789   3.5053e+02
     0.59180   3.7915e+02
     0.59570   3.4657e+02
     0.59961   3.3936e+02
     0.60352   3.2429e+02
     0.60742   3.0367e+02
     0.61133   2.9155e+02
     0.61523   2.9466e+02
     0.61914   2.8508e+02
     0.62305   2.6472e+02
     0.62695   2.4872e+02
     0.63086   2.2776e+02
     0.63477   2.1838e+02
     0.63867   2.1018e+02
     0.64258   1.9441e+02
     0.64648   1.8169e+02
     0.65039   1.7611e+02
     0.65430   1.6812e+02
     0.65820   1.6505e+02
     0.66211   1.5451e+02
     0.66602   1.5285e+02
     0.66992   1.3414e+02
     0.67383   1.2890e+02
     0.67773   1.1600e+02
     0.68164   1.0789e+02
     0.68555   1.0983e+02
     0.68945   9.5735e+01
     0.69336   9.6344e+01
     0.69727   8.1408e+01
     0.70117   7.4802e+01
     0.70508   7.8981e+01
     0.70898   7.1080e+01
     0.71289   6.7103e+01
     0.71680   6.2177e+01
     0.72070   5.2508e+01
     0.72461   5.5107e+01
     0.72852   4.6075e+01
     0.73242   4.5677e+01
     0.73633   3.8831e+01
     0.74023   4.0249e+01
     0.74414   3.4304e+01
     0.74805   2.9777e+01
