# Redshift histogram for sample 11
# Using 48740161 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.20234   1.0193e+02
     0.20703   1.0095e+02
     0.21172   9.8571e+01
     0.21641   1.0148e+02
     0.22109   1.1616e+02
     0.22578   1.2871e+02
     0.23047   1.2118e+02
     0.23516   1.2410e+02
     0.23984   1.1613e+02
     0.24453   1.1675e+02
     0.24922   1.1871e+02
     0.25391   1.1865e+02
     0.25859   1.1652e+02
     0.26328   1.2544e+02
     0.26797   1.2716e+02
     0.27266   1.2806e+02
     0.27734   1.2932e+02
     0.28203   1.2881e+02
     0.28672   1.3575e+02
     0.29141   1.4118e+02
     0.29609   1.5001e+02
     0.30078   1.4935e+02
     0.30547   1.6281e+02
     0.31016   1.6613e+02
     0.31484   1.7650e+02
     0.31953   1.9110e+02
     0.32422   1.9357e+02
     0.32891   2.0062e+02
     0.33359   2.0347e+02
     0.33828   2.3178e+02
     0.34297   2.2105e+02
     0.34766   2.1428e+02
     0.35234   2.1887e+02
     0.35703   2.0057e+02
     0.36172   2.1148e+02
     0.36641   2.0097e+02
     0.37109   1.9702e+02
     0.37578   2.0352e+02
     0.38047   1.8362e+02
     0.38516   1.8180e+02
     0.38984   1.8465e+02
     0.39453   1.8327e+02
     0.39922   1.8187e+02
     0.40391   1.7934e+02
     0.40859   1.8225e+02
     0.41328   1.8141e+02
     0.41797   1.8945e+02
     0.42266   1.9561e+02
     0.42734   2.0541e+02
     0.43203   2.0786e+02
     0.43672   2.2551e+02
     0.44141   2.5286e+02
     0.44609   2.7171e+02
     0.45078   3.1148e+02
     0.45547   3.0962e+02
     0.46016   3.2700e+02
     0.46484   3.5196e+02
     0.46953   3.8927e+02
     0.47422   4.1727e+02
     0.47891   4.3315e+02
     0.48359   4.4672e+02
     0.48828   4.4875e+02
     0.49297   4.7411e+02
     0.49766   4.9277e+02
