# Redshift histogram for sample 31
# Using 48740161 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.20234   2.0442e+01
     0.20703   2.1283e+01
     0.21172   2.1175e+01
     0.21641   2.2371e+01
     0.22109   2.3847e+01
     0.22578   2.5671e+01
     0.23047   2.4589e+01
     0.23516   2.6372e+01
     0.23984   2.6154e+01
     0.24453   2.7430e+01
     0.24922   2.8328e+01
     0.25391   2.9037e+01
     0.25859   2.9106e+01
     0.26328   3.0763e+01
     0.26797   3.1747e+01
     0.27266   3.2239e+01
     0.27734   3.3127e+01
     0.28203   3.3562e+01
     0.28672   3.4762e+01
     0.29141   3.5767e+01
     0.29609   3.6862e+01
     0.30078   3.7215e+01
     0.30547   4.0341e+01
     0.31016   4.0285e+01
     0.31484   4.1676e+01
     0.31953   4.4335e+01
     0.32422   4.5208e+01
     0.32891   4.6626e+01
     0.33359   4.5985e+01
     0.33828   5.0348e+01
     0.34297   4.9490e+01
     0.34766   4.9835e+01
     0.35234   5.2014e+01
     0.35703   5.0233e+01
     0.36172   5.3805e+01
     0.36641   5.3506e+01
     0.37109   5.2957e+01
     0.37578   5.6009e+01
     0.38047   5.3076e+01
     0.38516   5.4271e+01
     0.38984   5.5758e+01
     0.39453   5.5959e+01
     0.39922   5.5931e+01
     0.40391   5.6330e+01
     0.40859   5.8820e+01
     0.41328   5.8315e+01
     0.41797   6.0655e+01
     0.42266   6.1669e+01
     0.42734   6.3637e+01
     0.43203   6.3208e+01
     0.43672   6.5779e+01
     0.44141   6.9273e+01
     0.44609   6.9792e+01
     0.45078   7.6564e+01
     0.45547   7.5209e+01
     0.46016   7.7516e+01
     0.46484   7.9886e+01
     0.46953   8.3405e+01
     0.47422   8.4738e+01
     0.47891   8.6345e+01
     0.48359   8.8172e+01
     0.48828   8.8332e+01
     0.49297   9.0443e+01
     0.49766   9.1360e+01
