# Redshift histogram for sample 51
# Using 48740161 weighted galaxies.
# Quoted as galaxies per sq. deg. per z.
#       zcen        dN/dz
     0.20234   1.6177e+02
     0.20703   2.5098e+02
     0.21172   3.0500e+02
     0.21641   3.5588e+02
     0.22109   3.9627e+02
     0.22578   4.3056e+02
     0.23047   4.0974e+02
     0.23516   4.3683e+02
     0.23984   4.3474e+02
     0.24453   4.6139e+02
     0.24922   4.8513e+02
     0.25391   5.0800e+02
     0.25859   5.2071e+02
     0.26328   5.6204e+02
     0.26797   5.9127e+02
     0.27266   6.1123e+02
     0.27734   6.3834e+02
     0.28203   6.5647e+02
     0.28672   6.8934e+02
     0.29141   7.1825e+02
     0.29609   7.4884e+02
     0.30078   7.6406e+02
     0.30547   8.3642e+02
     0.31016   8.4298e+02
     0.31484   8.7952e+02
     0.31953   9.4297e+02
     0.32422   9.6827e+02
     0.32891   1.0062e+03
     0.33359   9.9878e+02
     0.33828   1.1004e+03
     0.34297   1.0883e+03
     0.34766   1.1023e+03
     0.35234   1.1572e+03
     0.35703   1.1242e+03
     0.36172   1.2108e+03
     0.36641   1.2113e+03
     0.37109   1.2054e+03
     0.37578   1.2831e+03
     0.38047   1.2237e+03
     0.38516   1.2594e+03
     0.38984   1.3029e+03
     0.39453   1.3174e+03
     0.39922   1.3268e+03
     0.40391   1.3473e+03
     0.40859   1.4192e+03
     0.41328   1.4197e+03
     0.41797   1.4914e+03
     0.42266   1.5327e+03
     0.42734   1.5993e+03
     0.43203   1.6073e+03
     0.43672   1.6936e+03
     0.44141   1.8074e+03
     0.44609   1.8466e+03
     0.45078   2.0558e+03
     0.45547   2.0510e+03
     0.46016   2.1485e+03
     0.46484   2.2522e+03
     0.46953   2.3938e+03
     0.47422   2.4778e+03
     0.47891   2.5744e+03
     0.48359   2.6823e+03
     0.48828   2.7441e+03
     0.49297   2.8720e+03
     0.49766   1.3758e+03
