# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=1.042443e-06.
#    ell           C_l_a           C_l_x
    64.5     4.61497e-05     5.21629e-07
    94.5     3.38320e-05     4.38558e-07
   124.5     2.72145e-05     3.93551e-07
   154.5     2.00958e-05     3.61298e-07
   184.5     1.78872e-05     1.56827e-07
   214.5     1.59881e-05     2.10646e-07
   244.5     1.42171e-05     1.93619e-07
   274.5     1.37177e-05     1.20871e-07
   304.5     1.22175e-05     6.03338e-08
   334.5     1.23638e-05     1.51511e-07
   364.5     1.10709e-05    -1.22877e-08
   394.5     1.09526e-05     3.68606e-08
   424.5     1.01695e-05     1.19082e-07
   454.5     9.62216e-06     6.36932e-08
   484.5     9.58737e-06     1.24948e-07
   514.5     9.14524e-06     1.12173e-07
   544.5     9.24204e-06     1.04698e-07
   574.5     8.96239e-06    -2.75670e-09
   604.5     8.74430e-06    -2.35023e-08
   634.5     8.54180e-06     3.30680e-08
   664.5     8.41721e-06     1.02952e-07
   694.5     8.63701e-06     5.55187e-08
   724.5     8.37305e-06     6.08234e-08
   754.5     8.37504e-06     2.38179e-08
   784.5     8.23681e-06     1.79048e-08
   814.5     8.13627e-06     2.18122e-08
   844.5     8.12822e-06     5.27066e-08
   874.5     7.94347e-06     2.84124e-08
   904.5     8.27374e-06     6.22647e-08
   934.5     7.92957e-06     3.28117e-08
   964.5     8.12838e-06     4.74534e-08
   994.5     7.88514e-06     3.46919e-08
