# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=1.018754e-06.
#    ell           C_l_a           C_l_x
    64.5     6.16638e-05     3.31016e-07
    94.5     2.73051e-05     4.12135e-07
   124.5     2.78153e-05     4.40566e-07
   154.5     2.16555e-05     4.38181e-07
   184.5     1.59637e-05    -1.76011e-08
   214.5     1.32410e-05     2.24777e-07
   244.5     1.30548e-05     1.91750e-07
   274.5     1.21450e-05     2.79795e-07
   304.5     1.15164e-05     1.77035e-07
   334.5     1.15154e-05     9.92063e-08
   364.5     1.14621e-05     8.17843e-09
   394.5     9.85366e-06     1.38435e-07
   424.5     9.22499e-06    -3.19471e-08
   454.5     9.24298e-06     4.83505e-08
   484.5     9.36748e-06     1.09607e-07
   514.5     8.71537e-06    -2.74755e-08
   544.5     7.98607e-06    -4.39868e-09
   574.5     8.24528e-06     2.11072e-07
   604.5     8.44586e-06     5.54397e-08
   634.5     8.18942e-06     1.00648e-07
   664.5     8.28393e-06     7.56027e-08
   694.5     8.31382e-06     8.85821e-09
   724.5     7.98715e-06     1.91484e-08
   754.5     8.06341e-06     9.33246e-08
   784.5     7.63420e-06     2.52845e-08
   814.5     7.86888e-06    -2.56122e-08
   844.5     7.77688e-06    -6.96823e-09
   874.5     7.73634e-06     6.08137e-08
   904.5     7.65660e-06     5.74072e-08
   934.5     7.66457e-06    -1.91857e-08
   964.5     7.45483e-06     1.31037e-07
   994.5     7.75980e-06     3.30540e-08
