# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=6.379080e-06.
#    ell           C_l_a           C_l_x
    64.5     5.29260e-05    -3.53980e-08
    94.5     3.33167e-05     4.08689e-07
   124.5     2.77617e-05     3.60375e-07
   154.5     2.12875e-05     3.99192e-07
   184.5     1.89643e-05     1.65846e-07
   214.5     1.67903e-05     2.79641e-07
   244.5     1.39822e-05     9.19531e-08
   274.5     1.29245e-05     1.05227e-07
   304.5     1.31278e-05     1.74824e-07
   334.5     1.19367e-05     4.16909e-08
   364.5     1.12203e-05     1.62061e-07
   394.5     1.02985e-05     1.61226e-07
   424.5     1.06718e-05     6.90867e-08
   454.5     9.91359e-06     7.14768e-08
   484.5     9.31455e-06    -2.24864e-08
   514.5     9.48855e-06    -2.36205e-08
   544.5     9.03922e-06    -4.41753e-08
   574.5     9.04156e-06    -5.80857e-08
   604.5     8.68435e-06     1.50364e-07
   634.5     8.87720e-06     1.94391e-07
   664.5     8.18504e-06     1.79740e-07
   694.5     8.69455e-06     7.78002e-08
   724.5     8.37222e-06    -2.74545e-08
   754.5     8.80080e-06     1.34441e-08
   784.5     8.12283e-06     3.79591e-08
   814.5     7.98885e-06    -9.43944e-09
   844.5     8.08585e-06    -1.66169e-08
   874.5     7.69007e-06     7.35041e-08
   904.5     8.01751e-06     5.39323e-08
   934.5     7.95301e-06     2.25000e-08
   964.5     7.74805e-06     3.99814e-08
   994.5     8.31254e-06    -8.27535e-10
