# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
         0     1.79162e-05     3.26356e-07
         1     3.03675e-05     5.76256e-07
         2     4.14948e-05     7.98759e-07
         3     5.13691e-05     9.95366e-07
         4     6.00617e-05     1.16758e-06
         5     6.76438e-05     1.31690e-06
         6     7.41866e-05     1.44483e-06
         7     7.97612e-05     1.55288e-06
         8     8.44389e-05     1.64254e-06
         9     8.82909e-05     1.71532e-06
        10     9.13883e-05     1.77272e-06
        11     9.38024e-05     1.81624e-06
        12     9.56043e-05     1.84738e-06
        13     9.68622e-05     1.86759e-06
        14     9.76378e-05     1.87819e-06
        15     9.79889e-05     1.88041e-06
        16     9.79695e-05     1.87539e-06
        17     9.76294e-05     1.86415e-06
        18     9.70138e-05     1.84763e-06
        19     9.61627e-05     1.82666e-06
        20     9.51126e-05     1.80199e-06
        21     9.38965e-05     1.77428e-06
        22     9.25447e-05     1.74416e-06
        23     9.10847e-05     1.71215e-06
        24     8.95415e-05     1.67878e-06
        25     8.79366e-05     1.64445e-06
        26     8.62893e-05     1.60957e-06
        27     8.46156e-05     1.57443e-06
        28     8.29305e-05     1.53933e-06
        29     8.12459e-05     1.50450e-06
        30     7.95729e-05     1.47013e-06
        31     7.79201e-05     1.43638e-06
        32     7.62951e-05     1.40339e-06
        33     7.47039e-05     1.37125e-06
        34     7.31506e-05     1.34003e-06
        35     7.16391e-05     1.30979e-06
        36     7.01719e-05     1.28054e-06
        37     6.87510e-05     1.25232e-06
        38     6.73779e-05     1.22513e-06
        39     6.60520e-05     1.19893e-06
        40     6.47728e-05     1.17372e-06
        41     6.35391e-05     1.14944e-06
        42     6.23493e-05     1.12608e-06
        43     6.12020e-05     1.10358e-06
        44     6.00954e-05     1.08190e-06
        45     5.90282e-05     1.06102e-06
        46     5.79993e-05     1.04089e-06
        47     5.70074e-05     1.02149e-06
        48     5.60512e-05     1.00279e-06
        49     5.51297e-05     9.84754e-07
        50     5.42419e-05     9.67353e-07
        51     5.33864e-05     9.50560e-07
        52     5.25618e-05     9.34343e-07
        53     5.17664e-05     9.18671e-07
        54     5.09985e-05     9.03512e-07
        55     5.02567e-05     8.88835e-07
        56     4.95395e-05     8.74616e-07
        57     4.88456e-05     8.60830e-07
        58     4.81736e-05     8.47453e-07
        59     4.75222e-05     8.34460e-07
        60     4.68902e-05     8.21831e-07
        61     4.62767e-05     8.09546e-07
        62     4.56806e-05     7.97587e-07
        63     4.51007e-05     7.85935e-07
        64     4.45362e-05     7.74570e-07
        65     4.39860e-05     7.63476e-07
        66     4.34491e-05     7.52634e-07
        67     4.29246e-05     7.42027e-07
        68     4.24114e-05     7.31637e-07
        69     4.19087e-05     7.21449e-07
        70     4.14156e-05     7.11447e-07
        71     4.09313e-05     7.01618e-07
        72     4.04550e-05     6.91947e-07
        73     3.99858e-05     6.82421e-07
        74     3.95231e-05     6.73025e-07
        75     3.90662e-05     6.63752e-07
        76     3.86147e-05     6.54594e-07
        77     3.81684e-05     6.45546e-07
        78     3.77269e-05     6.36602e-07
        79     3.72897e-05     6.27755e-07
        80     3.68566e-05     6.19001e-07
        81     3.64274e-05     6.10337e-07
        82     3.60021e-05     6.01762e-07
        83     3.55804e-05     5.93276e-07
        84     3.51624e-05     5.84880e-07
        85     3.47480e-05     5.76572e-07
        86     3.43371e-05     5.68352e-07
        87     3.39298e-05     5.60221e-07
        88     3.35262e-05     5.52185e-07
        89     3.31264e-05     5.44246e-07
        90     3.27308e-05     5.36408e-07
        91     3.23394e-05     5.28675e-07
        92     3.19525e-05     5.21052e-07
        93     3.15703e-05     5.13542e-07
        94     3.11929e-05     5.06148e-07
        95     3.08205e-05     4.98874e-07
        96     3.04534e-05     4.91722e-07
        97     3.00918e-05     4.84697e-07
        98     2.97359e-05     4.77802e-07
        99     2.93858e-05     4.71039e-07
       100     2.90419e-05     4.64411e-07
       101     2.87043e-05     4.57922e-07
       102     2.83729e-05     4.51570e-07
       103     2.80479e-05     4.45357e-07
       104     2.77294e-05     4.39281e-07
       105     2.74173e-05     4.33342e-07
       106     2.71118e-05     4.27541e-07
       107     2.68129e-05     4.21877e-07
       108     2.65206e-05     4.16350e-07
       109     2.62350e-05     4.10959e-07
       110     2.59560e-05     4.05701e-07
       111     2.56835e-05     4.00576e-07
       112     2.54175e-05     3.95579e-07
       113     2.51579e-05     3.90709e-07
       114     2.49048e-05     3.85963e-07
       115     2.46580e-05     3.81339e-07
       116     2.44174e-05     3.76835e-07
       117     2.41830e-05     3.72448e-07
       118     2.39548e-05     3.68175e-07
       119     2.37325e-05     3.64013e-07
       120     2.35161e-05     3.59959e-07
       121     2.33054e-05     3.56010e-07
       122     2.31002e-05     3.52161e-07
       123     2.29005e-05     3.48410e-07
       124     2.27061e-05     3.44754e-07
       125     2.25168e-05     3.41190e-07
       126     2.23327e-05     3.37713e-07
       127     2.21534e-05     3.34322e-07
       128     2.19788e-05     3.31012e-07
       129     2.18089e-05     3.27781e-07
       130     2.16433e-05     3.24625e-07
       131     2.14821e-05     3.21542e-07
       132     2.13249e-05     3.18528e-07
       133     2.11717e-05     3.15581e-07
       134     2.10223e-05     3.12696e-07
       135     2.08765e-05     3.09872e-07
       136     2.07342e-05     3.07104e-07
       137     2.05952e-05     3.04390e-07
       138     2.04594e-05     3.01728e-07
       139     2.03266e-05     2.99114e-07
       140     2.01965e-05     2.96547e-07
       141     2.00691e-05     2.94023e-07
       142     1.99442e-05     2.91540e-07
       143     1.98216e-05     2.89095e-07
       144     1.97012e-05     2.86686e-07
       145     1.95827e-05     2.84310e-07
       146     1.94660e-05     2.81965e-07
       147     1.93510e-05     2.79648e-07
       148     1.92375e-05     2.77358e-07
       149     1.91254e-05     2.75092e-07
       150     1.90146e-05     2.72851e-07
       151     1.89050e-05     2.70632e-07
       152     1.87965e-05     2.68435e-07
       153     1.86890e-05     2.66259e-07
       154     1.85824e-05     2.64102e-07
       155     1.84766e-05     2.61962e-07
       156     1.83715e-05     2.59840e-07
       157     1.82670e-05     2.57733e-07
       158     1.81629e-05     2.55641e-07
       159     1.80593e-05     2.53562e-07
       160     1.79560e-05     2.51497e-07
       161     1.78531e-05     2.49445e-07
       162     1.77506e-05     2.47409e-07
       163     1.76486e-05     2.45386e-07
       164     1.75469e-05     2.43379e-07
       165     1.74458e-05     2.41386e-07
