# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5974.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=1.000000e-06.
#    ell           C_l_a           C_l_x
    64.5     4.94772e-05     1.61933e-07
    94.5     3.28994e-05     4.35346e-07
   124.5     2.71925e-05     4.63407e-07
   154.5     2.02006e-05     4.26022e-07
   184.5     1.88238e-05     2.72062e-07
   214.5     1.57919e-05     3.01953e-07
   244.5     1.39418e-05     1.72417e-07
   274.5     1.29967e-05     1.37189e-07
   304.5     1.32726e-05     2.08199e-07
   334.5     1.19470e-05     3.11711e-08
   364.5     1.13487e-05     1.54769e-07
   394.5     1.04019e-05     1.82073e-07
   424.5     1.07009e-05     4.02202e-08
   454.5     1.00779e-05     1.13287e-07
   484.5     9.51062e-06     2.62693e-08
   514.5     9.69498e-06    -5.25745e-08
   544.5     9.30385e-06     6.28460e-09
   574.5     9.29286e-06     7.84051e-08
   604.5     9.07681e-06     1.67476e-07
   634.5     9.29197e-06     2.11890e-07
   664.5     8.29783e-06     1.82536e-07
   694.5     9.05174e-06     1.01980e-07
   724.5     8.61341e-06     1.20263e-08
   754.5     9.25639e-06     1.78090e-08
   784.5     8.50055e-06     7.19764e-08
   814.5     8.38050e-06    -1.15526e-08
   844.5     8.34416e-06    -3.58594e-08
   874.5     8.07073e-06     1.28529e-07
   904.5     8.33018e-06     6.06187e-08
   934.5     8.44167e-06     3.42792e-08
   964.5     8.31655e-06     2.67955e-08
   994.5     8.75818e-06     9.41600e-09
