# Best-fit model, reconstructed.
# OmM=0.299404, H0=69.060986, lnA=2.744523, sig8=0.701092.
#      r[Mpc/h]             xi0             xi2
    2.50000e+00    -6.40598e+00    -9.99032e-01
    7.50000e+00    -4.81468e+00    -7.59402e-01
    1.25000e+01    -3.36830e+00    -5.40091e-01
    1.75000e+01    -2.21916e+00    -3.64144e-01
    2.25000e+01    -1.35758e+00    -2.30435e-01
    2.75000e+01    -7.48448e-01    -1.34027e-01
    3.25000e+01    -3.50255e-01    -6.90361e-02
    3.75000e+01    -1.19338e-01    -2.92538e-02
    4.25000e+01    -1.11216e-02    -8.33470e-03
    4.75000e+01     1.94024e-02     1.31103e-04
    5.25000e+01     1.71571e-02     2.54228e-03
    5.75000e+01     1.25215e-02     3.40247e-03
    6.25000e+01     9.22145e-03     3.68665e-03
    6.75000e+01     6.82288e-03     3.64419e-03
    7.25000e+01     5.00104e-03     3.40347e-03
    7.75000e+01     3.57442e-03     3.08649e-03
    8.25000e+01     2.65816e-03     2.89079e-03
    8.75000e+01     2.56213e-03     2.88126e-03
    9.25000e+01     3.46253e-03     2.86885e-03
    9.75000e+01     4.82246e-03     2.68823e-03
    1.02500e+02     5.48024e-03     2.40156e-03
    1.07500e+02     4.89477e-03     2.07307e-03
    1.12500e+02     3.57974e-03     1.68368e-03
    1.17500e+02     2.27484e-03     1.27296e-03
    1.22500e+02     1.33714e-03     9.25646e-04
    1.27500e+02     7.93537e-04     6.86420e-04
    1.32500e+02     5.48818e-04     5.39506e-04
    1.37500e+02     4.86644e-04     4.38478e-04
    1.42500e+02     5.14621e-04     3.46042e-04
    1.47500e+02     5.80950e-04     2.47177e-04
    1.52500e+02     6.61998e-04     1.40775e-04
    1.57500e+02     7.48672e-04     3.03581e-05
    1.62500e+02     9.20990e-04    -2.98489e-05
    1.67500e+02     1.75384e-03     3.06656e-04
    1.72500e+02     4.11360e-03     1.55931e-03
    1.77500e+02     8.87816e-03     4.25439e-03
