# Best-fit model, windowed.
# OmM=0.299404, H0=69.060986, lnA=2.744523, sig8=0.701092.
#      k[h/Mpc]              P0              P2
    5.00000e-03     5.98452e+04     8.73028e+03
    1.50000e-02     6.78235e+04     1.98541e+04
    2.50000e-02     6.04889e+04     2.10785e+04
    3.50000e-02     4.81030e+04     1.77033e+04
    4.50000e-02     3.86915e+04     1.41987e+04
    5.50000e-02     3.32196e+04     1.17513e+04
    6.50000e-02     2.94831e+04     1.00154e+04
    7.50000e-02     2.55983e+04     8.47811e+03
    8.50000e-02     2.14301e+04     7.02090e+03
    9.50000e-02     1.78630e+04     5.77760e+03
    1.05000e-01     1.54659e+04     4.84692e+03
    1.15000e-01     1.40016e+04     4.17429e+03
    1.25000e-01     1.28686e+04     3.65384e+03
    1.35000e-01     1.16417e+04     3.21718e+03
    1.45000e-01     1.03167e+04     2.84241e+03
    1.55000e-01     9.12811e+03     2.52174e+03
    1.65000e-01     8.23592e+03     2.24589e+03
    1.75000e-01     7.60210e+03     2.00684e+03
    1.85000e-01     7.08609e+03     1.80678e+03
    1.95000e-01     6.57230e+03     1.65201e+03
    2.05000e-01     6.04330e+03     1.53834e+03
    2.15000e-01     5.54922e+03     1.44827e+03
    2.25000e-01     5.13261e+03     1.36573e+03
    2.35000e-01     4.79506e+03     1.28612e+03
    2.45000e-01     4.50782e+03     1.21533e+03
    2.55000e-01     4.24108e+03     1.16162e+03
    2.65000e-01     3.98326e+03     1.12680e+03
    2.75000e-01     3.74020e+03     1.10494e+03
    2.85000e-01     3.52111e+03     1.08791e+03
    2.95000e-01     3.32848e+03     1.07167e+03
    3.05000e-01     3.15724e+03     1.05742e+03
    3.15000e-01     2.99999e+03     1.04775e+03
    3.25000e-01     2.85222e+03     1.04415e+03
    3.35000e-01     2.71301e+03     1.04551e+03
    3.45000e-01     2.58306e+03     1.04900e+03
    3.55000e-01     2.46251e+03     1.05252e+03
    3.65000e-01     2.34957e+03     1.05476e+03
    3.75000e-01     2.24007e+03     1.05322e+03
    3.85000e-01     2.12430e+03     1.03794e+03
    3.95000e-01     1.76858e+03     7.42028e+02
