# Best-fit model, windowed.
# OmM=0.299404, H0=69.060986, lnA=2.744523, sig8=0.701092.
#      k[h/Mpc]              P0              P2
    5.00000e-03     5.99064e+04     7.18846e+03
    1.50000e-02     6.81064e+04     1.90231e+04
    2.50000e-02     6.08165e+04     2.03454e+04
    3.50000e-02     4.85213e+04     1.71989e+04
    4.50000e-02     3.90320e+04     1.39913e+04
    5.50000e-02     3.33697e+04     1.18158e+04
    6.50000e-02     2.94797e+04     1.02812e+04
    7.50000e-02     2.55725e+04     8.89065e+03
    8.50000e-02     2.14810e+04     7.55505e+03
    9.50000e-02     1.79814e+04     6.40816e+03
    1.05000e-01     1.55778e+04     5.52792e+03
    1.15000e-01     1.40552e+04     4.85418e+03
    1.25000e-01     1.28769e+04     4.29747e+03
    1.35000e-01     1.16582e+04     3.80966e+03
    1.45000e-01     1.03773e+04     3.37591e+03
    1.55000e-01     9.21898e+03     2.98086e+03
    1.65000e-01     8.31213e+03     2.60575e+03
    1.75000e-01     7.62673e+03     2.24121e+03
    1.85000e-01     7.05138e+03     1.89601e+03
    1.95000e-01     6.49251e+03     1.58315e+03
    2.05000e-01     5.93146e+03     1.30214e+03
    2.15000e-01     5.40047e+03     1.03565e+03
    2.25000e-01     4.92792e+03     7.66361e+02
    2.35000e-01     4.51459e+03     4.89061e+02
    2.45000e-01     4.14060e+03     2.09290e+02
    2.55000e-01     3.78564e+03    -6.45207e+01
    2.65000e-01     3.44089e+03    -3.29743e+02
    2.75000e-01     3.10840e+03    -5.90565e+02
    2.85000e-01     2.79233e+03    -8.53483e+02
    2.95000e-01     2.49331e+03    -1.12189e+03
    3.05000e-01     2.20815e+03    -1.39469e+03
    3.15000e-01     1.93290e+03    -1.66852e+03
    3.25000e-01     1.66496e+03    -1.94228e+03
    3.35000e-01     1.40333e+03    -2.21661e+03
    3.45000e-01     1.14814e+03    -2.49222e+03
    3.55000e-01     8.99402e+02    -2.76824e+03
    3.65000e-01     6.56898e+02    -3.04243e+03
    3.75000e-01     4.20724e+02    -3.30687e+03
    3.85000e-01     1.93593e+02    -3.53367e+03
    3.95000e-01     4.75973e+01    -3.15301e+03
